Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,111161,6.00 - 9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0383,20,0.77,528.00
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,119161,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,20,1.02,704
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,20,1.38,914
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,101041,15 X 4 1/2 - 8,RUNNERSOLID,BLACK,STD,3,3 LAYER,10,0.0171,8,0.14,80
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,104041,18x7x8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.3,0.0316,10,0.32,203
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,102041,500.-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,10,0.26,171.00
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,111041,6.00 - 9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,20,0.78,532
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,12,0.63,417.6
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,20,1.45,938
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,120041,23 X 9 - 10,RUNNERSOLID,BLACK,STD,6.5,3 LAYER,44.3,0.0657,6,0.39,265.8
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,134051,2.50-15,ROCKSOLID,BLACK,STD,7.5,3 LAYER,67.4,0.1149,8,0.92,539.2
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,142051,7.00-15,ROCKSOLID,BLACK,STD,6,3 LAYER,56.4,0.0946,8,0.76,451.2
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,135051,8.15-15,ROCKSOLID,BLACK,STD,7,3 LAYER,59.3,0.1064,20,2.13,"1,186.00"
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,711071,16x6x10 1/2,RUNNERBAND,BLACK,SMOOTH,POB - Heavy Duty,,19.6,0.0259,90,2.33,"1,764.00"
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,709071,16 1/4x6x11 1/4,RUNNERBAND,BLACK,SMOOTH,POB - Heavy Duty,,19.1,0.0267,12,0.32,229.2
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,716071,18x8x12 1/8,RUNNERBAND,BLACK,SMOOTH,POB - Heavy Duty,,30.9,0.0437,8,0.35,247.2
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,719071,21x7x15,RUNNERBAND,BLACK,SMOOTH,POB - Heavy Duty,,35.4,0.052,50,2.6,"1,770.00"
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,720071,21x8x15,RUNNERBAND,BLACK,SMOOTH,POB - Heavy Duty,,40.8,0.0594,50,2.97,"2,040.00"
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,721071,22x12x16,RUNNERBAND,BLACK,SMOOTH,POB - Heavy Duty,,64.9,0.0979,6,0.59,389.4
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,738071,28x12x22,RUNNERBAND,BLACK,SMOOTH,POB - Heavy Duty,,83.5,0.1545,6,0.93,501
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,705073,14x5x10 ,RUNNERBAND,NM,SMOOTH,POB - Heavy Duty,,12.4,0.0165,8,0.13,99.2
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,711073,16x6x10 1/2,RUNNERBAND,NM,SMOOTH,POB - Heavy Duty,,19.7,0.0259,120,3.11,"2,364.12"
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,706073,15x5x11 1/4,RUNNERBAND,NM,SMOOTH,POB - Heavy Duty,,13.4,0.019,50,0.95,670
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,716073,18x8x12 1/8,RUNNERBAND,NM,SMOOTH,POB - Heavy Duty,,31.1,0.0437,10,0.44,311
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,719073,21x7x15,RUNNERBAND,NM,SMOOTH,POB - Heavy Duty,,35.6,0.052,12,0.62,427.2
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,720073,21x8x15,RUNNERBAND,NM,SMOOTH,POB - Heavy Duty,,40.9,0.0594,20,1.19,818
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,722073,22x8x16,RUNNERBAND,NM,SMOOTH,POB - Heavy Duty,,43,0.0652,8,0.52,344
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,721073,22x12x16,RUNNERBAND,NM,SMOOTH,POB - Heavy Duty,,65.4,0.0979,8,0.78,523.2
6/14/2024,USA - TMHL,120,TMHL ORDER 02,935,738073,28x12x22,RUNNERBAND,NM,SMOOTH,POB - Heavy Duty,,84,0.1545,6,0.93,504
