Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,101004,15x4 1/2-8,ACHIEVER,NM-OFF WHITE,CLIP,3,2 LAYER,9.3,0.0147,30,0.44,279
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,103004,16x6-8,ACHIEVER,NM-OFF WHITE,CLIP,4.33,2 LAYER,16.1,0.0244,16,0.39,257.6
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,104004,18x7-8,ACHIEVER,NM-OFF WHITE,CLIP,4.33,2 LAYER,21,0.0303,46,1.39,966.00
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,110004,140/55-9,ACHIEVER,NM-OFF WHITE,CLIP,4,2 LAYER,10,0.0179,26,0.47,260
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,112004,21x8-9,ACHIEVER,NM-OFF WHITE,CLIP,6,2 LAYER,34.6,0.0478,8,0.38,276.8
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,118004,200/50-10,ACHIEVER,NM-OFF WHITE,CLIP,6.5,2 LAYER,23.9,0.0388,36,1.4,860.4
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,120244,23x9-10 WIDE,ACHIEVER,NM-OFF WHITE,CLIP,6.5,2 LAYER,47,0.068,6,0.41,282.00
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,126004,23x10-12,ACHIEVER,NM-OFF WHITE,CLIP,8,2 LAYER,51.3,0.0774,10,0.77,513
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,136004,28x12 1/2-15,ACHIEVER,NM-OFF WHITE,CLIP,9.75,2 LAYER,84.9,0.1354,4,0.54,339.6
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,101164,15x4 1/2-8 WIDE,ACHIEVER PLUS,NM-OFF WHITE,CLIP,3,2 LAYER,9.7,0.0161,16,0.26,155.2
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,103164,16x6-8 WIDE,ACHIEVER PLUS,NM-OFF WHITE,CLIP,4.33,2 LAYER,16.1,0.0257,12,0.31,193.2
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,104014,18x7-8,ACHIEVER PLUS,NM-OFF WHITE,CLIP,4.33,2 LAYER,20.4,0.0303,46,1.39,938.4
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,110014,140/55-9,ACHIEVER PLUS,NM-OFF WHITE,CLIP,4,2 LAYER,9.85,0.0179,18,0.32,177.3
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,112164,21x8-9 WIDE,ACHIEVER PLUS,NM-OFF WHITE,CLIP,6,2 LAYER,33.9,0.049,8,0.39,271.2
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,118014,200/50-10,ACHIEVER PLUS,NM-OFF WHITE,CLIP,6.5,2 LAYER,23.6,0.0388,26,1.01,613.6
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,120164,23x9-10 WIDE,ACHIEVER PLUS,NM-OFF WHITE,CLIP,6.5,2 LAYER,45.3,0.068,12,0.82,543.6
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,126014,23x10-12,ACHIEVER PLUS,NM-OFF WHITE,CLIP,8,2 LAYER,49.7,0.0774,18,1.39,894.6
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,136014,28x12 1/2-15,ACHIEVER PLUS,NM-OFF WHITE,CLIP,9.75,2 LAYER,81.3,0.1354,10,1.35,813
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,101044,15x4.5-8,RUNNERSOLID,NM Lt.CREAM,CLIP,3,3 LAYER,10.3,0.0171,50,0.86,515
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,103044,16x6-8,RUNNERSOLID,NM Lt.CREAM,CLIP,4.33,3 LAYER,16.5,0.0263,32,0.84,528
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,104044,18x7-8,RUNNERSOLID,NM Lt.CREAM,CLIP,4.33,3 LAYER,20.6,0.0316,100,3.16,"2,060.00"
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,110044,140/55-9,RUNNERSOLID,NM Lt.CREAM,CLIP,4,3 LAYER,10.2,0.0186,24,0.45,244.8
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,112044,21X8-9,RUNNERSOLID,NM Lt.CREAM,CLIP,6,3 LAYER,33.5,0.0494,12,0.59,402
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,118044,200/50-10,RUNNERSOLID,NM Lt.CREAM,CLIP,6.5,3 LAYER,23.1,0.0394,52,2.05,"1,201.20"
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,120044,23x9-10,RUNNERSOLID,NM Lt.CREAM,CLIP,6.5,3 LAYER,44.8,0.0657,18,1.18,806.4
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,126044,23x10-12,RUNNERSOLID,NM Lt.CREAM,CLIP,8,3 LAYER,47.5,0.0764,32,2.44,"1,520.00"
5/2/2024,TURKEY/SLD,88,TURKEY/SLD-09,1010,136054,28x12 1/2-15,ROCKSOLID,NM Lt.CREAM,CLIP,9.75,3 LAYER,77.7,0.1365,20,2.73,"1,554.00"
