Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,102041,5.00 - 8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,100,2.59,"1,710.00"
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,101042,15X4 1/2-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.3,0.0172,20,0.34,206
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,104042,18X7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,20,0.63,416
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,110042,140/55 - 9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,16,0.30,164.8
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,120042,23X9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,24,1.58,"1,072.80"
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,126042,23X10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,4,0.31,188.4
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,127042,27X10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.6,0.1051,6,0.63,417.6
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,101044,15X4 1/2-8,RUNNERSOLID,NM,CLIP,3,3 LAYER,10.5,0.0172,20,0.34,210
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,104044,18X7-8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,21,0.0316,20,0.63,420
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,110044,140/55 - 9,RUNNERSOLID,NM,CLIP,4,3 LAYER,10.4,0.0186,16,0.3,166.32
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,136051,28X12 1/2-15,ROCKSOLID,BLACK,STD,9.75,3 LAYER,77.1,0.1365,4,0.55,308.4
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,139051,300-15,ROCKSOLID,BLACK,STD,8,3 LAYER,108.1,0.1711,4,0.68,432.4
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,135052,"28X9-15, 8.15-15",ROCKSOLID,BLACK,CLIP,7,3 LAYER,60.6,0.1064,8,0.85,484.8
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,139052,300-15,ROCKSOLID,BLACK,CLIP,8,3 LAYER,109.1,0.1711,4,0.68,436.4
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,166351,31x10-20 (WAP) CW,SKID SOLID,BLACK,STD - Left,7.5,2 LAYER,110.7,0.1446,8,1.16,885.6
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,166351,31x10-20 (WAP) CW,SKID SOLID,BLACK,STD - Right,7.5,2 LAYER,110.7,0.1446,8,1.16,885.6
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,152221,10.00-20 (Complete Wheels),ACHIEVER ,BLACK,STD,7,2 LAYER,204.5,0.246,40,9.84,"8,180.00"
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,156221,12.00-20 (Complete Wheels),ACHIEVER ,BLACK,STD,8.5,2 LAYER,252.9,0.3074,24,7.38,"6,069.60"
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,180221,10.00-20,ACHIEVER (CW) SPACER,BLACK,-,7,-,28.5,0.053,20,1.06,570
26.02.2024,RUS-TYL,38,RUS TYL OREDR 8 (R),850,182221,12.00-20,ACHIEVER (CW) SPACER,BLACK,-,8.5,-,29,0.065,12,0.78,348
