Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
1/20/2025,OM - BYT,8,OM - BYT - ORDER 01,1089,111161,6.00-9 (Wide),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0383,15,0.5745,396
1/20/2025,OM - BYT,8,OM - BYT - ORDER 01,1089,119161,6.50-10 (Wide),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0488,80,3.904,2816
1/20/2025,OM - BYT,8,OM - BYT - ORDER 01,1089,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,40,2.764,1828
1/20/2025,OM - BYT,8,OM - BYT - ORDER 01,1089,135011,28X9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,59.3,0.1024,75,7.68,4447.5
1/20/2025,OM - BYT,8,OM - BYT - ORDER 01,1089,138161,8.25-15 (Wide),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,90.6,0.1358,25,3.395,2265
1/20/2025,OM - BYT,8,OM - BYT - ORDER 01,1089,139161,3.00-15 (Wide),ACHIEVER PLUS,BLACK,STD,8,3 LAYER,108.7,0.1701,20,3.402,2174
1/20/2025,OM - BYT,8,OM - BYT - ORDER 01,1089,151011,9.00-20,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,127.2,0.204,30,6.12,3816
1/20/2025,OM - BYT,8,OM - BYT - ORDER 01,1089,101162,15X4.5-8 (Wide),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.9,0.0161,4,0.0644,39.6
1/20/2025,OM - BYT,8,OM - BYT - ORDER 01,1089,110012,140/55X9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,4,0.0716,40
1/20/2025,OM - BYT,8,OM - BYT - ORDER 01,1089,102162,5.00-8 (Wide),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,17.6,0.0263,6,0.1578,105.6
1/20/2025,OM - BYT,8,OM - BYT - ORDER 01,1089,103162,16X6-8 (Wide),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,4,0.1028,66.4
1/20/2025,OM - BYT,8,OM - BYT - ORDER 01,1089,104012,18X7-8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,10,0.303,209
1/20/2025,OM - BYT,8,OM - BYT - ORDER 01,1089,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,4,0.1552,95.6
1/20/2025,OM - BYT,8,OM - BYT - ORDER 01,1089,111162,6.00-9 (Wide),ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,26.8,0.0383,10,0.383,268
1/20/2025,OM - BYT,8,OM - BYT - ORDER 01,1089,119162,6.50-10 (Wide),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,10,0.508,354
1/20/2025,OM - BYT,8,OM - BYT - ORDER 01,1089,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,10,0.691,461
1/20/2025,OM - BYT,8,OM - BYT - ORDER 01,1089,135012,28X9-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,10,1.024,603
1/20/2025,OM - BYT,8,OM - BYT - ORDER 01,1089,133012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,65.2,0.1049,10,1.049,652
1/20/2025,OM - BYT,8,OM - BYT - ORDER 01,1089,139162,3.00-15 (Wide),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,4,0.6804,436.8
