Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,151001,9.00-20,ACHIEVER,BLACK,STD,7,2 LAYER,128.1,0.204,10,2.04,1281
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,139002,3.00-15,ACHIEVER,BLACK,CLIP,8,2 LAYER,104.3,0.1701,10,1.701,1043
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,111003,6.00-9,ACHIEVER,NM,STD,4,2 LAYER,26.7,0.0377,3,0.1131,80.1
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,119003,6.50 - 10,ACHIEVER,NM,STD,5,2 LAYER,34.4,0.0488,4,0.1952,137.6
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,101004,15 X 4 1/2 - 8,ACHIEVER,NM,CLIP,3,2 LAYER,9.3,0.0147,4,0.0588,37.2
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,110004,140 / 55 - 9,ACHIEVER,NM,CLIP,4,2 LAYER,10,0.0179,20,0.358,200
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,103004,16x6-8  ,ACHIEVER,NM,CLIP,4.33,3 LAYER,16.1,0.0257,1,0.0257,16.1
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,118004,200 / 50 - 10,ACHIEVER,NM,CLIP,6.5,2 LAYER,23.9,0.0388,10,0.388,239
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,119244,6.50 - 10 (WIDE),ACHIEVER,NM,CLIP,5,2 LAYER,36.2,0.0508,8,0.4064,289.6
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,135004,8.15 - 15,ACHIEVER,NM,CLIP,7,2 LAYER,60.8,0.1024,2,0.2048,121.6
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,136004,28 X 12 1/2 - 15,ACHIEVER,NM,CLIP,9.75,2 LAYER,84.9,0.1354,2,0.2708,169.8
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,119161,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,30,1.524,1056
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,101162,15 X 4 1/2 - 8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.9,0.0161,9,0.1449,89.1
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,119162,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,10,0.508,354
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,120162,23 X 9 - 10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.6,0.068,8,0.544,372.8
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,127012,27 X 10 - 12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,73.4,0.1066,4,0.4264,293.6
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,135012,8.15 - 15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,10,1.024,603
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,139162,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,4,0.6804,436.8
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,125013,7.00 - 12,ACHIEVER PLUS,NM,STD,5.00,3 LAYER,44.6,0.0691,6,0.4146,267.6
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,110014,140/55-9,ACHIEVER PLUS,NM,CLIP,4,3 LAYER,9.85,0.0179,10,0.179,98.5
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,103164,16 X 6 - 8 (WIDE),ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER,16.1,0.0257,11,0.2827,177.1
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,104014,18 X 7 - 8,ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER,20.4,0.0303,10,0.303,204
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,119164,6.50 - 10 (WIDE),ACHIEVER PLUS,NM,CLIP,5,3 LAYER,34.5,0.0508,10,0.508,345
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,120014,23 X 9 - 10,ACHIEVER PLUS,NM,CLIP,6.5,2 LAYER,43.6,0.0627,6,0.3762,261.6
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,126014,23 X 10 - 12,ACHIEVER PLUS,NM,CLIP,8,2 LAYER,49.7,0.0774,4,0.3096,198.8
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,118014,200 / 50 - 10,ACHIEVER PLUS,NM,CLIP,6.5,3 LAYER,23.6,0.0388,20,0.776,472
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,135014,8.15 - 15,ACHIEVER PLUS,NM,CLIP,7,2 LAYER,59.2,0.1024,10,1.024,592
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER ,17.1,0.0259,9,0.2331,153.9
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,10,0.523,348
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,125041,7.00 - 12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,4,0.29,187.6
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,101042,15 X 4 1/2 - 8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.1,0.0171,10,0.171,101
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,103042,16 X 6 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.4,0.0263,7,0.1841,114.8
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,104042,18 X 7 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0316,24,0.7584,494.4
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,118042,200 / 50 - 10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,10,0.394,228
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,120042,23 X 9 - 10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,6,0.3942,268.2
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,111042,6.00-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,26.9,0.039,4,0.156,107.6
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,119042,6.50 - 10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0523,10,0.523,352
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,125042,7.00 - 12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.5,0.0725,8,0.58,380
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,135042,8.15 - 15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,58.4,0.1041,14,1.4574,817.6
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,126042,23 X 10 - 12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,8,0.6112,376.8
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,127042,27 X 10 - 12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.2,0.1066,6,0.6396,415.2
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,102043,5.00-8,RUNNERSOLID,NM,STD,3,3 LAYER ,17.2,0.0259,10,0.259,172
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,3 LAYER,10.2,0.0186,10,0.186,102
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,103044,16 X 6 - 8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,16.5,0.0263,4,0.1052,66
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,104044,18 X 7 - 8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,20.6,0.0316,10,0.316,206
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,112044,21 X 8 - 9,RUNNERSOLID,NM,CLIP,6,3 LAYER,33.5,0.0478,1,0.0478,33.5
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,118044,200 / 50 - 10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,23.1,0.0394,20,0.788,462
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,119044,6.50 - 10,RUNNERSOLID,NM,CLIP,5,3 LAYER,35.6,0.0523,10,0.523,356
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,126044,23 X 10 - 12,RUNNERSOLID,NM,CLIP,8,3 LAYER,47.5,0.0764,8,0.6112,380
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,138052,8.25 - 15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,88.9,0.1385,8,1.108,711.2
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,163327,33x12-20(With Aperture),SKIDSOLID,BLACK,CLIP-LEFT,7.5,2 LAYER,88.9,0.1982,6,1.1892,533.4
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,163328,33x12-20(With Aperture),SKIDSOLID,BLACK,CLIP-RIGHT,7.5,2 LAYER,88.9,0.1982,6,1.1892,533.4
27-05-2024,TUK-FFL,110,TURKEY OREDR 21,924,711072,16x6x10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,19.1,0.0259,10,0.259,191
