Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,101161,15X4 1/2-8(WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,9.7,0.0161,12,0.193,116.4
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,103161,16x6-8 (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,16.3,0.0257,12,0.308,195.6
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,104011,18X7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,12,0.364,249.6
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,10,0.263,174
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,110011,140/55 - 9,ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,9.8,0.0179,10,0.179,98
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,112161,21X8- 9 (WIDE),ACHIEVER PLUS,BLACK,STD,6,2 LAYER,34.4,0.0377,20,0.754,688
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,111161,6.00 - 9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,2 LAYER,26.4,0.0383,50,1.915,"1,320.00"
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,118011,200/50 - 10,ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,23.5,0.0388,10,0.388,235
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,119161,6.50 - 10(WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,40,2.032,"1,408.00"
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,120161,23X9-10(WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,46.5,0.068,12,0.816,558
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,50,3.455,"2,285.00"
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,126011,23X10-12,ACHIEVER PLUS,BLACK,STD,8,3 LAYER,49.8,0.0774,10,0.774,498
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,127011,27X10-12,ACHIEVER PLUS,BLACK,STD,8,3 LAYER,73,0.1066,10,1.066,730
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,141011,7.00 - 15,ACHIEVER PLUS,BLACK,STD,5.5,3 LAYER ,57.6,0.0943,6,0.566,345.6
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,143011,7.50-15,ACHIEVER PLUS,BLACK,STD,5.5,3 LAYER ,67.3,0.1107,4,0.443,269.2
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,50,5.12,"2,965.00"
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,138161,8.25 - 15(WIDE),ACHIEVER PLUS,BLACK,STD,6.5,2 LAYER,90.6,0.1358,10,1.358,906
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,101162,15X4 1/2-8(WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER ,9.9,0.0161,12,0.193,118.8
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,103162,16x6-8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER ,16.6,0.0257,12,0.308,199.2
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,104012,18X7-8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER ,20.9,0.0303,12,0.364,250.8
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,102162,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER ,17.6,0.0263,10,0.263,176
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,110012,140/55 - 9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER ,10,0.0179,10,0.179,100
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,112162,21X8- 9 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6,2 LAYER,34.8,0.0377,16,0.603,556.8
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,111162,6.00 - 9 (WIDE),ACHIEVER PLUS,BLACK,CLIP,4,2 LAYER,26.8,0.0383,30,1.149,804
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,118012,200/50 - 10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,8,0.31,191.2
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,119162,6.50 - 10(WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,20,1.016,708
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,120162,23X9-10(WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.6,0.068,12,0.816,559.2
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER ,46.1,0.0691,30,2.073,"1,383.00"
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,126012,23X10-12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,50.7,0.0774,10,0.774,507
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,127012,27X10-12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,73.4,0.1066,10,1.066,734
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,135012,28x9-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER ,60.3,0.1024,20,2.048,"1,206.00"
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,165351,31X10X16 (W/AP) CW,SKIDSOLID,SKIDSOLID,STD (LEFT),6,3 LAYER ,115.4,0.1446,2,0.289,230.8
10/23/2024,U.A.E.- ZAF,192,U.A.E.- ZAF - ORDER 02 (R),1012,165351,31X10X16 (W/AP) CW,SKIDSOLID,SKIDSOLID,STD(RIGHT),6,3 LAYER ,115.4,0.1446,2,0.289,230.8
