Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,101001,15x4 1/2-8 ,ACHIEVER ,BLACK,STD,3,2LAYER,9,0.0147,40,0.588,360
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,102241,5.00-8 (WIDE),ACHIEVER ,BLACK,STD,3,2LAYER,17.6,0.0263,30,0.789,528
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,111241,6.00-9 (WIDE),ACHIEVER ,BLACK,STD,4,2LAYER,27.1,0.0383,80,3.064,2168
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,119241,6.50 - 10 (WIDE),ACHIEVER ,BLACK,STD,5,2LAYER,35.8,0.0508,60,3.048,2148
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,125001,7.00-12,ACHIEVER ,BLACK,STD,5,2LAYER,46.8,0.0691,80,5.528,3744
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,101002,15x4 1/2-8 ,ACHIEVER ,BLACK,CLIP,3,2LAYER,9.2,0.0147,30,0.441,276
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,103002,16x6-8,ACHIEVER ,BLACK,CLIP,4.33,2LAYER,16,0.0244,50,1.22,800
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,104002,18 x 7 - 8 ,ACHIEVER ,BLACK,CLIP,4.33,2LAYER,20.9,0.0303,100,3.03,2090
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,110002,140/55-9,ACHIEVER ,BLACK,CLIP,4,2LAYER,10,0.0179,50,0.895,500
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,111242,6.00-9 (WIDE),ACHIEVER ,BLACK,CLIP,4,2LAYER,27.3,0.0383,30,1.149,819
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,119242,6.50 - 10 (WIDE),ACHIEVER ,BLACK,CLIP,5,2LAYER,36.3,0.0508,60,3.048,2178
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,120242,23x9-10 (WIDE),ACHIEVER ,BLACK,CLIP,6.5,2LAYER,47.3,0.068,20,1.36,946
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,125002,7.00-12,ACHIEVER ,BLACK,CLIP,5,2LAYER,47.3,0.0691,40,2.764,1892
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,133002,2.50-15,ACHIEVER ,BLACK,CLIP,7,2LAYER,66.3,0.1049,20,2.098,1326
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,134002,2.50-15,ACHIEVER ,BLACK,CLIP,7.5,2LAYER,69.3,0.1103,10,1.103,693
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,135002,28x9-15,ACHIEVER ,BLACK,CLIP,7,2LAYER,60.3,0.1024,20,2.048,1206
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,138242,8.25-15 (WIDE),ACHIEVER ,BLACK,CLIP,6.5,2LAYER,94,0.1358,20,2.716,1880
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,101161,15x4 1/2-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,9.7,0.0147,30,0.441,291
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,50,1.315,870
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,119161,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,100,5.08,3520
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,153161,10.00-20 (WIDE),ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER,167.3,0.2622,10,2.622,1673
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,152161,10.00-20 (WIDE),ACHIEVER PLUS,BLACK,STD,7,3 LAYER,162,0.2622,1,0.2622,162
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,154161,10.00-20 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER,167.8,0.246,3,0.738,503.4
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,156011,12.00-20,ACHIEVER PLUS,BLACK,STD,8.5,3 LAYER,204.7,0.3074,20,6.148,4094
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,104012,18 x 7 - 8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,100,3.03,2090
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,40,0.716,400
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,111162,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,26.8,0.0383,30,1.149,804
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,119162,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,100,5.08,3540
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,120162,23x9-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.6,0.068,50,3.4,2330
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,40,2.764,1844
8/26/2024,UNITED KINGDOM,,UK/RTL- ORDER -51 -53,2001,126012,23X10-12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,50.7,0.0774,40,3.096,2028
