Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
8/5/2024,UK/RTL,97,UK/RTL- ORDER -46,910,111011,6.00-9,ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26,0.0377,80,3.016,2080
8/5/2024,UK/RTL,97,UK/RTL- ORDER -46,910,119011,6.50 - 10 ,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,33.7,0.0488,70,3.416,2359
8/5/2024,UK/RTL,97,UK/RTL- ORDER -46,910,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,70,4.837,3199
8/5/2024,UK/RTL,97,UK/RTL- ORDER -46,910,101012,15x4 1/2-8 ,ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.2,0.0147,80,1.176,736
8/5/2024,UK/RTL,97,UK/RTL- ORDER -46,910,104012,18 x 7 - 8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,80,2.424,1672
8/5/2024,UK/RTL,97,UK/RTL- ORDER -46,910,119012,6.50 - 10 ,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,34.2,0.0488,70,3.416,2394
8/5/2024,UK/RTL,97,UK/RTL- ORDER -46,910,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,60,4.146,2766
8/5/2024,UK/RTL,97,UK/RTL- ORDER -46,910,138012,8.25-15,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,81.3,0.1232,10,1.232,813
8/5/2024,UK/RTL,97,UK/RTL- ORDER -46,910,101041,15x 4 1/2 - 8 ,RUNNERSOLID,BLACK,STD,3,3 LAYER,10,0.0171,60,1.026,600
8/5/2024,UK/RTL,97,UK/RTL- ORDER -46,910,101042,15x 4 1/2 - 8 ,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.1,0.0171,40,0.684,404
8/5/2024,UK/RTL,97,UK/RTL- ORDER -46,910,126042,23x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,20,1.528,942
8/5/2024,UK/RTL,97,UK/RTL- ORDER -46,910,101044,15x 4 1/2 - 8 ,RUNNERSOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,30,0.513,309
8/5/2024,UK/RTL,97,UK/RTL- ORDER -46,910,712072,16x7x10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,21.6,0.0302,60,1.812,1296
8/5/2024,UK/RTL,97,UK/RTL- ORDER -46,910,730074,16 1/4x7x11-1/4,RUNNERBAND,NM,TRACTION,-,2 LAYER,20.8,0.0312,60,1.872,1248
