Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,101161,15x4 1/2-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,9.7,0.0147,10,0.147,97
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,110011,140/55-9,ACHIEVER PLUS,BLACK,STD,4,3 LAYER,9.8,0.0179,10,0.179,98
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0232,30,0.696,522
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,20.8,0.0303,20,0.606,416
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,118011,200/50-10,ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,23.5,0.0388,4,0.155,94
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0377,60,2.262,"1,584.00"
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,112161,21x8-9 (WIDE),ACHIEVER PLUS,BLACK,STD,6,3 LAYER,34.4,0.0478,4,0.191,137.6
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,119161,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0488,60,2.928,"2,112.00"
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,60,4.146,"2,742.00"
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,126011,23x10-12,ACHIEVER PLUS,BLACK,STD,8,3 LAYER,50.7,0.0774,4,0.31,202.8
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,141011,7.00-15,ACHIEVER PLUS,BLACK,STD,5.5,3 LAYER,57.6,0.0943,10,0.943,576
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,3 LAYER,58.7,0.0943,4,0.377,234.8
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,59.3,0.1024,30,3.072,"1,779.00"
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,64.6,0.1049,10,1.049,646
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,134011,2.50-15,ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER,66.6,0.1103,10,1.103,666
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,143011,7.50-15,ACHIEVER PLUS,BLACK,STD,5.5,3 LAYER,67.3,0.1107,2,0.221,134.6
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,138161,8.25 - 15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,90.6,0.1232,20,2.464,"1,812.00"
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER,108.7,0.1563,20,3.126,"2,174.00"
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,153161,10.00-20 (WIDE),ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER,167.3,0.246,4,0.984,669.2
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,154161,10.00-20 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER,167.8,0.246,8,1.968,"1,342.40"
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,155011,12.00-20,ACHIEVER PLUS,BLACK,STD,8,3 LAYER,203.9,0.3074,8,2.459,"1,631.20"
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,156011,12.00-20,ACHIEVER PLUS,BLACK,STD,8.5,3 LAYER,204.7,0.3074,4,1.23,818.8
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,20,0.358,200
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,104012,18x7-8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,4,0.121,83.6
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER,17.1,0.0232,6,0.139,102.6
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,111163,6.00-9 (WIDE),ACHIEVER PLUS,NM,STD,4,3 LAYER,25.7,0.0377,6,0.226,154.2
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,119163,6.50 - 10 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER,34,0.0488,6,0.293,204
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,110013,140/55-9,ACHIEVER PLUS,NM,STD,4,3 LAYER,9.7,0.0179,4,0.072,38.8
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER,20.3,0.0303,4,0.121,81.2
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER,44.6,0.0691,8,0.553,356.8
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,110014,140/55-9,ACHIEVER PLUS,NM,CLIP,4,3 LAYER,9.85,0.0179,10,0.179,98.5
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,101041,15x4 1/2-8 ,RUNNERSOLID,BLACK,STD,3,3 LAYER,10,0.0171,10,0.171,100
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,104041,18x7-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.3,0.0316,20,0.632,406
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,102041,5.00-8 ,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,30,0.777,513
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,110041,140/55-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,9.8,0.0186,10,0.186,98
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,112041,21x8-9,RUNNERSOLID,BLACK,STD,6,3 LAYER,33,0.0494,4,0.198,132
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,30,1.17,798
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,118041,200/50-10,RUNNERSOLID,BLACK,STD,6.5,3 LAYER,22.7,0.0394,4,0.158,90.8
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,30,1.569,"1,044.00"
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,125041,7.00 -12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,30,2.175,"1,407.00"
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,133041,2.50-15,RUNNERSOLID,BLACK,STD,7,3 LAYER,65.4,0.1149,4,0.46,261.6
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,138041,8.25 - 15,RUNNERSOLID,BLACK,STD,6.5,3 LAYER,84.6,0.1385,4,0.554,338.4
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,139041,3.00-15,RUNNERSOLID,BLACK,STD,8,3 LAYER,105.4,0.1563,2,0.313,210.8
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,126041,23x10-12,RUNNERSOLID,BLACK,STD,8,3 LAYER,46.8,0.0764,4,0.306,187.2
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0316,4,0.126,82.4
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.1,0.0186,20,0.372,202
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,104043,18x7-8,RUNNERSOLID,NM,STD,4.33,3 LAYER,20.4,0.0316,4,0.126,81.6
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,102043,5.00-8 ,RUNNERSOLID,NM,STD,3,3 LAYER,17.2,0.0259,6,0.155,103.2
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,110043,140/55-9,RUNNERSOLID,NM,STD,4,3 LAYER,9.9,0.0186,4,0.074,39.6
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,111043,6.00-9,RUNNERSOLID,NM,STD,4,3 LAYER,26.7,0.039,6,0.234,160.2
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,119043,6.50 - 10,RUNNERSOLID,NM,STD,5,3 LAYER,35.1,0.0523,6,0.314,210.6
4/18/2024,USA- CENTRAL W H,,USA- CENTRAL W H,12,125043,7.00 -12,RUNNERSOLID,NM,STD,5,3 LAYER,46.8,0.0725,8,0.58,374.4
