Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,21,0.54,359.1
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,168041,5.00-8,RUNNERSOLID,BLACK,STD,3.75,3 LAYER,18.1,0.0259,5,0.13,90.5
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,125041,7.00 -12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,30,2.18,"1,407.00"
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,126042,23 X 10 - 12 ,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,20,1.53,942
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,133052,250 - 15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,67.3,0.1149,16,1.84,"1,076.80"
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,138052,8.25 - 15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,88.9,0.1385,16,2.22,"1,422.40"
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,140052,355/65-15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,128,0.2021,9,1.82,"1,152.00"
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,139052,3.00 - 15,ROCKSOLID,BLACK,CLIP,8,3 LAYER,108.5,0.1711,16,2.74,"1,736.00"
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,710071,16 x 5 x 10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,16.3,0.0216,30,0.65,489
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,711071,16 x 6 x 10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.6,0.0259,30,0.78,588
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,712071,16 x 7 x 10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0302,10,0.3,228
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,709071,16 1/4x6x11-1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19,0.0267,20,0.53,380
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,715071,18 X 7 X 12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,26.3,0.0382,10,0.38,263
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,716071,18 X 8 X 12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,30.9,0.0437,30,1.31,927
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,719071,21x7x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,35.4,0.052,30,1.56,"1,062.00"
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,722071,22 x 8 x 16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,42.9,0.0652,10,0.65,429
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,737071,22 x 10 x 16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,54.6,0.0815,9,0.73,491.4
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,721071,22 X 12 X 16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,64.9,0.0979,10,0.98,649
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,738071,28 X 12 X 22,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,83.5,0.1545,2,0.31,167
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,709072,16 1/4 x 6 x 11 1/4,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,18.2,0.0267,40,1.07,728
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,711072,16 X 6 X 10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,19.1,0.0259,84,2.18,"1,604.40"
23.09.2024,USA-OSF,178,USA OSF-11 (R),999,714072,18 X 6 X 12 1/8,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,22.5,0.0328,10,0.33,225
