Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,60,3.138,"2,088.00"
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,125041,7.00 -12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,50,3.625,"2,345.00"
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,135041,8.15-15 (28x9-15),RUNNERSOLID,BLACK,STD,7,3 LAYER,57.5,0.1064,30,3.192,"1,725.00"
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,139041,3.00-15,RUNNERSOLID,BLACK,STD,8,3 LAYER,105.4,0.1711,2,0.342,210.8
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,111042,6.00-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,26.9,0.039,10,0.39,269
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,125042,7.00 -12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.5,0.0725,6,0.435,285
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,126042,23x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,4,0.306,188.4
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,138042,8.25 - 15,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,85.5,0.1385,6,0.831,513
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,139042,3.00-15,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,106.4,0.1711,4,0.684,425.6
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,141051,7.00-15,ROCKSOLID,BLACK,STD,5.5,3 LAYER,55.6,0.0946,4,0.378,222.4
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,142051,7.00-15,ROCKSOLID,BLACK,STD,6,3 LAYER,56.4,0.0946,8,0.757,451.2
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,155051,12.00-20,ROCKSOLID,BLACK,STD,8,3 LAYER,209.3,0.3327,6,1.996,"1,255.80"
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,701071,10x5x6 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,7.7,0.0084,22,0.185,169.4
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,704071,14x 4 1/2 x 8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,12,0.0149,10,0.149,120.00
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,705071,14x5x10,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,12.4,0.0165,20,0.33,248.00
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,706071,15x5x11-1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,13.3,0.019,20,0.38,266.00
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,708071,16 1/4x5x11-1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,15.9,0.0223,20,0.446,318
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,711071,16x6x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.6,0.0259,70,1.813,"1,372.00"
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,712071,16x7x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0302,10,0.302,228
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,715071,18x7x12 1/8 ,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,26.3,0.0382,40,1.528,"1,052.00"
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,716071,18x8x12 1/8 ,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,30.9,0.0437,40,1.748,"1,236.00"
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,720071,21x8x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,40.5,0.0594,30,1.782,"1,215.00"
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,723071,22x9x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,48.6,0.0734,4,0.294,194.4
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,702072,12X4-1/2-8,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,9.2,0.0109,0,0,  -   
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,706072,15x5x11-1/4,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,13.3,0.019,0,0,  -   
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,709072,16 1/4x6x11-1/4,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,18.2,0.0267,6,0.16,109.2
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,710072,16x5x10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,15.9,0.0216,20,0.432,318
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,714072,18x6x12 1/8 ,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,22.5,0.0328,20,0.656,450
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,719072,21x7x15,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,34.7,0.052,16,0.832,555.2
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,720072,21x8x15,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,40,0.0594,16,0.95,640
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,709075,16 1/4x6x11-1/4,RUNNERBAND,NM-GREY,SMOOTH,-,2 LAYER,19.2,0.0267,20,0.534,384
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,710075,16x5x10 1/2,RUNNERBAND,NM-GREY,SMOOTH,-,2 LAYER,16.3,0.0216,20,0.432,326
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,711075,16x6x10-1/2,RUNNERBAND,NM-GREY,SMOOTH,-,2 LAYER,19.7,0.0259,50,1.295,985.05
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,712075,16x7x10 1/2,RUNNERBAND,NM-GREY,SMOOTH,-,2 LAYER,23,0.0302,2,0.06,46
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,714075,18x6x12 1/8 ,RUNNERBAND,NM-GREY,SMOOTH,-,2 LAYER,22.8,0.0328,10,0.328,228
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,719075,21x7x15,RUNNERBAND,NM-GREY,SMOOTH,-,2 LAYER,35.6,0.052,20,1.04,712
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,720075,21x8x15,RUNNERBAND,NM-GREY,SMOOTH,-,2 LAYER,40.9,0.0594,20,1.188,818
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,722075,22 x 8 x 16,RUNNERBAND,NM-GREY,SMOOTH,-,2 LAYER,43,0.0652,4,0.261,172
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,723075,22x9x16,RUNNERBAND,NM-GREY,SMOOTH,-,2 LAYER,49.1,0.0734,4,0.294,196.4
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,710076,16x5x10 1/2,RUNNERBAND,NM-GREY,TRACTION,-,2 LAYER,16.3,0.0216,2,0.043,32.6
9/18/2024,USA- GIT,177,USA- GIT - ORDER 03,998,720076,21x8x15,RUNNERBAND,NM-GREY,TRACTION,-,2 LAYER,40.1,0.0594,4,0.238,160.4
