Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
18/04/2024,USA- CENTRAL W H,82,USA- CENTRAL W H (R)- Container 02,895,101161,15x4 1/2-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,9.7,0.0147,10,0.147,97
18/04/2024,USA- CENTRAL W H,82,USA- CENTRAL W H (R)- Container 02,895,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,20.8,0.0303,10,0.303,208
18/04/2024,USA- CENTRAL W H,82,USA- CENTRAL W H (R)- Container 02,895,119161,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0488,30,1.464,1056
18/04/2024,USA- CENTRAL W H,82,USA- CENTRAL W H (R)- Container 02,895,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,20,1.382,914
18/04/2024,USA- CENTRAL W H,82,USA- CENTRAL W H (R)- Container 02,895,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,64.6,0.1049,10,1.049,646
18/04/2024,USA- CENTRAL W H,82,USA- CENTRAL W H (R)- Container 02,895,134011,2.50-15,ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER,66.6,0.1103,5,0.5515,333
18/04/2024,USA- CENTRAL W H,82,USA- CENTRAL W H (R)- Container 02,895,138161,8.25 - 15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,90.6,0.1232,10,1.232,906
18/04/2024,USA- CENTRAL W H,82,USA- CENTRAL W H (R)- Container 02,895,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER,108.7,0.1563,10,1.563,1087
18/04/2024,USA- CENTRAL W H,82,USA- CENTRAL W H (R)- Container 02,895,153161,10.00-20 (WIDE),ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER,167.3,0.246,4,0.984,669.2
18/04/2024,USA- CENTRAL W H,82,USA- CENTRAL W H (R)- Container 02,895,154161,10.00-20 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER,167.8,0.246,4,0.984,671.2
