Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
5/26/2024,USA-GIT,124,USA- GIT - ORDER 02,940,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,10,0.259,171
5/26/2024,USA-GIT,124,USA- GIT - ORDER 02,940,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,30,1.17,798
5/26/2024,USA-GIT,124,USA- GIT - ORDER 02,940,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,30,1.569,"1,044.00"
5/26/2024,USA-GIT,124,USA- GIT - ORDER 02,940,125041,7.00 -12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,30,2.175,"1,407.00"
5/26/2024,USA-GIT,124,USA- GIT - ORDER 02,940,135041,8.15-15 (28x9-15),RUNNERSOLID,BLACK,STD,7,3 LAYER,57.5,0.1064,10,1.064,575
5/26/2024,USA-GIT,124,USA- GIT - ORDER 02,940,133041,2.50-15,RUNNERSOLID,BLACK,STD,7,3 LAYER,64.5,0.1149,2,0.23,129
5/26/2024,USA-GIT,124,USA- GIT - ORDER 02,940,138041,8.25 - 15,RUNNERSOLID,BLACK,STD,6.5,3 LAYER,84.6,0.1385,12,1.662,"1,015.20"
5/26/2024,USA-GIT,124,USA- GIT - ORDER 02,940,125042,7.00 -12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.5,0.0725,4,0.29,190
5/26/2024,USA-GIT,124,USA- GIT - ORDER 02,940,126042,23x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,2,0.153,94.2
5/26/2024,USA-GIT,124,USA- GIT - ORDER 02,940,142051,7.00-15,ROCKSOLID,BLACK,STD,6,3 LAYER,56.4,0.0946,4,0.378,188.4
5/26/2024,USA-GIT,124,USA- GIT - ORDER 02,940,701071,10x5x6 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,7.7,0.0084,10,0.084,77
5/26/2024,USA-GIT,124,USA- GIT - ORDER 02,940,704071,14x 4 1/2 x 8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,12,0.0149,6,0.089,72
5/26/2024,USA-GIT,124,USA- GIT - ORDER 02,940,705071,14x5x10,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,12.4,0.0165,6,0.099,74.4
5/26/2024,USA-GIT,124,USA- GIT - ORDER 02,940,706071,15x5x11-1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,13.3,0.019,10,0.19,133.00
5/26/2024,USA-GIT,124,USA- GIT - ORDER 02,940,708071,16 1/4x5x11-1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,15.9,0.0223,8,0.178,127.20
5/26/2024,USA-GIT,124,USA- GIT - ORDER 02,940,709071,16 1/4x6x11-1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19,0.0267,20,0.534,380.00
5/26/2024,USA-GIT,124,USA- GIT - ORDER 02,940,710071,16x5x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,16.3,0.0216,50,1.08,815
5/26/2024,USA-GIT,124,USA- GIT - ORDER 02,940,711071,16x6x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.6,0.0259,50,1.295,980
