Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
6/25/2024,USA-OSF,125,USA OSF-10,941,119241,6.50 - 10 (WIDE),ACHIEVER ,BLACK,STD,5,2 LAYER,35.8,0.0488,10,0.49,358
6/25/2024,USA-OSF,125,USA OSF-10,941,125001,7.00-12,ACHIEVER ,BLACK,STD,5,2 LAYER,46.8,0.0691,6,0.41,280.8
6/25/2024,USA-OSF,125,USA OSF-10,941,133001,2.50-15,ACHIEVER ,BLACK,STD,7,3 LAYER,65.6,0.1049,6,0.63,393.6
6/25/2024,USA-OSF,125,USA OSF-10,941,126002,23x10-12,ACHIEVER ,BLACK,CLIP,8,3 LAYER,51.2,0.0774,6,0.46,307.2
6/25/2024,USA-OSF,125,USA OSF-10,941,133002,2.50-15,ACHIEVER ,BLACK,CLIP,7,3 LAYER,66.3,0.1049,6,0.63,397.8
6/25/2024,USA-OSF,125,USA OSF-10,941,138242,8.25 - 15 (WIDE),ACHIEVER ,BLACK,CLIP,6.5,3 LAYER,94,0.1358,6,0.81,564
6/25/2024,USA-OSF,125,USA OSF-10,941,139242,3.00-15 (WIDE),ACHIEVER ,BLACK,CLIP,8,3 LAYER,110.7,0.1563,4,0.63,442.8
6/25/2024,USA-OSF,125,USA OSF-10,941,185012,315/45-12 (23x12-12),ACHIEVER PLUS,BLACK,CLIP,10,3 LAYER,58.5,0.0932,10,0.93,585
6/25/2024,USA-OSF,125,USA OSF-10,941,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,20,0.78,532
6/25/2024,USA-OSF,125,USA OSF-10,941,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,20,1.05,696
