Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
10/5/2024,UNITED KINGDOM,97,UK/RTL- ORDER -46 (R),910,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0377,30,1.13,792
10/5/2024,UNITED KINGDOM,97,UK/RTL- ORDER -46 (R),910,119161,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0488,80,3.9,2816
10/5/2024,UNITED KINGDOM,97,UK/RTL- ORDER -46 (R),910,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,80,5.53,3656
10/5/2024,UNITED KINGDOM,97,UK/RTL- ORDER -46 (R),910,156011,12.00-20,ACHIEVER PLUS,BLACK,STD,8.5,3 LAYER,204.7,0.3074,10,3.07,2047
10/5/2024,UNITED KINGDOM,97,UK/RTL- ORDER -46 (R),910,101162,15x4 1/2-8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.9,0.0147,74,1.09,732.6
10/5/2024,UNITED KINGDOM,97,UK/RTL- ORDER -46 (R),910,104012,18 x 7 - 8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,70,2.12,1463
10/5/2024,UNITED KINGDOM,97,UK/RTL- ORDER -46 (R),910,119162,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0488,70,3.42,2478
10/5/2024,UNITED KINGDOM,97,UK/RTL- ORDER -46 (R),910,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,70,4.84,3227
10/5/2024,UNITED KINGDOM,97,UK/RTL- ORDER -46 (R),910,138162,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,91.5,0.1232,10,1.23,915
10/5/2024,UNITED KINGDOM,97,UK/RTL- ORDER -46 (R),910,135012,8.15-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,40,4.1,2412
10/5/2024,UNITED KINGDOM,97,UK/RTL- ORDER -46 (R),910,139162,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.0563,20,1.13,2184
10/5/2024,UNITED KINGDOM,97,UK/RTL- ORDER -46 (R),910,101041,15x 4 1/2 - 8 ,RUNNERSOLID,BLACK,STD,3,3 LAYER,10,0.0171,50,0.86,500
10/5/2024,UNITED KINGDOM,97,UK/RTL- ORDER -46 (R),910,101042,15x 4 1/2 - 8 ,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.1,0.0171,40,0.68,404
10/5/2024,UNITED KINGDOM,97,UK/RTL- ORDER -46 (R),910,126042,23x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,10,0.76,471
10/5/2024,UNITED KINGDOM,97,UK/RTL- ORDER -46 (R),910,101044,15x 4 1/2 - 8 ,RUNNERSOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,30,0.51,309
10/5/2024,UNITED KINGDOM,97,UK/RTL- ORDER -46 (R),910,712072,16x7x10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,21.6,0.0302,60,1.81,1296
