Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs,fef
,,,,,,,,,,,,sfsf
151001,9.00-20,ACHIEVER,BLACK,STD,7,2 LAYER ,128.1,0.204,4,0.816,512.4,zcs
151001,9.00-20,ACHIEVER,BLACK,STD,7,2 LAYER ,128.1,0.204,8,1.632,"1,024.80",sdsd
152001,10.00-20,ACHIEVER,BLACK,STD,7,2 LAYER ,156.5,0.246,16,3.936,"2,504.00",sdsd
156001,12.00-20,ACHIEVER,BLACK,STD,8.5,2 LAYER ,204.9,0.3616,4,1.446,819.6,sdds
,,,,,,,,,,,,dsds
1040+M6+A8:L48,18x7-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER ,20.7,0.0303,4,0.121,82.8,eeee
119002,6.50-10,ACHIEVER,BLACK,CLIP,5,2 LAYER ,34.6,0.0488,2,0.098,69.2,e2e2e
118002,200/50-10,ACHIEVER,BLACK,CLIP,8,2 LAYER ,73.7,0.1066,2,0.213,147.4,wqew
,,,,,,,,,,,,
102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0232,14,0.325,243.6,ww
111011,6.00-9,ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26,0.0377,10,0.377,260,wew
119011,6.50-10,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,33.7,0.0488,16,0.781,539.2,wew
125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,10,0.691,457,w2ew2
,,,,,,,,,,,,
110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER ,10,0.0179,26,0.465,260,ew2e
101012,15 x 4.5 - 8 (125/75-8) ,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER ,9.2,0.0147,28,0.412,257.6,wwe
103012,16 x 6 - 8 (150/75-8),ACHIEVER PLUS,BLACK,CLIP,4.33,4 LAYER,16,0.0244,12,0.293,192,e2e
112012,21x8-9 (200/75-9) ,ACHIEVER PLUS,BLACK,CLIP,6,3 LAYER ,33.6,0.0478,16,0.765,537.6,ee
119012,6.50-10,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER ,34.2,0.0488,30,1.464,"1,026.00",qweqe
