Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,143002,7.50-15,ACHIEVER ,BLACK,CLIP,5.5,2LAYER,68.8,0.1107,10,1.107,688
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,137002,8.25-15,ACHIEVER ,BLACK,CLIP,5.5,2LAYER,83.4,0.1232,10,1.232,834
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,118004,200/50-10,ACHIEVER ,NM,CLIP,6.5,2LAYER,23.9,0.0388,10,0.388,239
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,111011,6.00-9 ,ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26,0.0377,122,4.5994,3172
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,40,2.764,1828
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,151011,9.00-20,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,127.2,0.204,20,4.08,2544
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,101162,15x4 1/2-8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.9,0.0147,30,0.441,297
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,104012,18 x 7 - 8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,86,2.6058,1797.4
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,22,0.3938,220
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,111012,6.00-9 ,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,26.4,0.0377,30,1.131,792
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,30,2.073,1383
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,138162,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,91.5,0.1358,20,2.716,1830
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,118014,200/50-10,ACHIEVER PLUS,NM,CLIP,6.5,3 LAYER,23.6,0.0388,10,0.388,236
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,40,1.576,912
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,119042,6.50-10 ,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0523,10,0.523,352
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,101044,15x4 1/2-8,RUNNERSOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,30,0.513,309
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,104044,18x7-8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,20.6,0.0316,20,0.63,412
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,110044,140/55-9 ,RUNNERSOLID,NM,CLIP,4,3 LAYER,10.2,0.0186,40,0.74,408
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,717071,18x9x12 1/8 ,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,34.2,0.0491,30,1.473,1026
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,730071,16 1/4x7x11-1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.2,0.0312,50,1.56,1110
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,160602,315 / 95 - 28  (CW),ATIRE TELESOLID ,BLACK,CLIP,8.5,3 LAYER,329.6,0.4986,4,1.9944,1318.4
10/31/2024,UNITED KINGDOM,214,UK/RTL- ORDER -54 (R),1034,169612,360 / 85 - 28 (CW),ATIRE TELESOLID ,BLACK,CLIP,10,3 LAYER,424,0.6032,8,4.8256,3392
