date,Customer,wono,ref,erp,icode,t_size,brand,fit,col,rim,cons,fweight,ptv,new,cbm,kgs
,,,,637,100001,4.00-8,ACHIEVER,BLACK,STD,3,2 LAYER,10.9,0.0166,40,0.664,436
,,,,637,111001,6.00-9,ACHIEVER,BLACK,STD,4,2 LAYER,26.6,0.0377,20,0.754,532
,,,,637,119241,6.50 - 10 (Wide wall),ACHIEVER,BLACK,STD,5,2 LAYER,35.6,0.0508,80,4.064,"2,848.00"
,,,,637,125001,7.00-12,ACHIEVER,BLACK,STD,5,2 LAYER,46.8,0.0691,100,6.91,"4,680.00"
,,,,637,135001,"28X9-15, 8.15-15",ACHIEVER,BLACK,STD,7,2 LAYER,59.6,0.1024,40,4.096,"2,384.00"
,,,,637,133001,2.50-15,ACHIEVER,BLACK,STD,7,2 LAYER,65.6,0.1049,6,0.6294,393.6
,,,,637,138241,8.25-15 (Wide wall),ACHIEVER,BLACK,STD,6.5,2 LAYER,92.9,0.1358,40,5.432,"3,716.00"
,,,,637,151001,9.00 - 20,ACHIEVER,BLACK,STD,7,2 LAYER,128.1,0.204,5,1.02,640.5
,,,,637,118002,200/50-10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,23.9,0.0388,16,0.6208,382.4
,,,,637,126002,23X10-12,ACHIEVER,BLACK,CLIP,8,2 LAYER,51.2,0.0774,10,0.774,512
,,,,637,167341,36X14-20,SKID SOLID,BLACK,STD,7.5,2 LAYER,131,0.265,20,5.3,"2,620.00"
