Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,101041,"15x4,5-8 ",RUNNERSOLID,BLACK,STD,3,3 LAYER,10,0.0171,24,0.41,240
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,40,1.036,684
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,103041,16x6-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,16.2,0.0263,2,0.053,32.4
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,104041,18x7-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.3,0.0316,140,4.424,"2,842.00"
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,50,1.95,"1,330.00"
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,50,2.615,"1,740.00"
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,30,2.175,"1,407.00"
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,120041,23 X 9 - 10 ,RUNNERSOLID,BLACK,STD,6.5,3 LAYER,44.3,0.0657,10,0.657,443
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,135041,28x9-15,RUNNERSOLID,BLACK,STD,7,3 LAYER,57.5,0.1041,4,0.416,230
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,110042,140/55-9 ,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.1,0.0186,12,0.223,121.2
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,100042,4.00-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,11,0.0172,40,0.688,440
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,103042,16x6-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.4,0.0263,50,1.315,820.00
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0316,70,2.212,"1,442.00"
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,118042,200 / 50 - 10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,20,0.788,456
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,112042,21 X 8 - 9 ,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.3,0.0494,16,0.79,532.8
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0523,10,0.523,352.00
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,120042,23 X 9 - 10 ,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,40,2.628,"1,788.00"
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,125042,7.00-12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.5,0.0725,6,0.435,285.00
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,126042,23 X 10 - 12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,50,3.82,"2,355.00"
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,135042,28x9-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,58.4,0.1041,20,2.082,"1,168.00"
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,101043,"15x4,5-8 ",RUNNERSOLID,NM,STD,3,3 LAYER,10.2,0.0171,2,0.034,20.39
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,102043,5.00-8,RUNNERSOLID,NM,STD,3,3 LAYER,17.2,0.0259,16,0.414,275.2
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,104043,18x7-8,RUNNERSOLID,NM,STD,4.33,3 LAYER,20.4,0.0316,20,0.632,408.00
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,111043,6.00-9,RUNNERSOLID,NM,STD,4,3 LAYER,26.7,0.039,20,0.78,534
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,119043,6.50-10,RUNNERSOLID,NM,STD,5,3 LAYER,35.1,0.0523,60,3.138,"2,106.00"
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,125043,7.00-12,RUNNERSOLID,NM,STD,5,3 LAYER,46.8,0.0725,6,0.435,280.8
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,139043,300 - 15 ,RUNNERSOLID,NM,STD,8,3 LAYER,106.2,0.1711,4,0.684,424.8
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,110044,140/55-9 ,RUNNERSOLID,NM,CLIP,4,3 LAYER,10.2,0.0186,14,0.26,142.8
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,103044,16x6-8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,16.5,0.0263,14,0.368,231
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,104044,18x7-8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,20.6,0.0316,4,0.126,82.40
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,120044,23 X 9 - 10 ,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,44.8,0.0657,12,0.788,537.6
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,125044,7.00-12,RUNNERSOLID,NM,CLIP,5,3 LAYER,47.8,0.0725,14,1.015,669.2
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,135044,28x9-15,RUNNERSOLID,NM,CLIP,7,3 LAYER,58.8,0.1041,20,2.082,"1,176.00"
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,732146,16x5x12(WOB),RUNNERLIFT,NM-GREY,TRACTION,-,2 LAYER,15.6,0.0204,2,0.041,31.2
6/10/2024,"HUN/NKF-ORDER 02 (R3)	",118,HUN/NKF-ORDER 02 (R3),932,734146,16x5x12 (WIB),RUNNERLIFT,NM-GREY,TRACTION,-,2 LAYER,17.2,0.0204,2,0.041,34.4
