Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,119241,6.50-10 (WIDE),ACHIEVER ,BLACK,STD,5,2 LAYER,35.8,0.0488,20,0.976,716
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,135001,8.15-15,ACHIEVER ,BLACK,STD,7,2 LAYER,59.6,0.1024,6,0.6144,357.6
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,136012,28x12 1/2 -15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,83.6,0.1354,7,0.9478,585.2
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,104014,18x 7-8 ,ACHIEVER PLUS,NON - MARKING,CLIP,4.33,3 LAYER,20.4,0.0303,6,0.1818,122.4
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,136014,28x 12 1/2-15,ACHIEVER PLUS,NON - MARKING,CLIP,9.75,3 LAYER,81.3,0.1354,10,1.354,813
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,50,1.295,855
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,104041,18x 7-8 ,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.3,0.0316,11,0.3476,223.3
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,60,2.34,"1,596.00"
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,60,3.138,"2,088.00"
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,120041,23x 9-10,RUNNERSOLID,BLACK,STD,6.5,3 LAYER,44.2,0.0657,10,0.657,442
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,20,1.45,938
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,103042,16x 6-8 ,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.4,0.0263,9,0.2367,147.6
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,104042,18x 7-8 ,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0263,50,1.315,"1,030.00"
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,22,0.8668,501.6
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,112042,21x 8-9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.3,0.0494,4,0.1976,133.2
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,120042,23x 9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,6,0.3942,268.2
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,126042,23x 10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,8,0.6112,376.8
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,110044,140/55-9,RUNNERSOLID,NON - MARKING,CLIP,4,3 LAYER,10.2,0.0186,22,0.4092,224.4
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,103044,16x 6-8 ,RUNNERSOLID,NON - MARKING,CLIP,4.33,3 LAYER,16.5,0.0263,2,0.0526,33
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,104044,18x 7-8 ,RUNNERSOLID,NON - MARKING,CLIP,4.33,3 LAYER,20.6,0.0316,12,0.3792,247.2
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,118044,200/50-10,RUNNERSOLID,NON - MARKING,CLIP,6.5,3 LAYER,23.1,0.0394,10,0.394,231
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,112044,21x 8-9,RUNNERSOLID,NON - MARKING,CLIP,6,3 LAYER,33.5,0.0494,10,0.494,335
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,120044,23x 9-10,RUNNERSOLID,NON - MARKING,CLIP,6.5,3 LAYER,45,0.0657,4,0.2628,180
01.08.2024,HUNGARY,11,HUN-NTK / ORDER 11,964,126044,23x 10-12,RUNNERSOLID,NON - MARKING,CLIP,8,3 LAYER,47.5,0.0764,10,0.764,475
