Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
11/28/2024,ISRL-KST,240,ISRL-KST- ORDER - 49,1060,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0377,102,3.8454,2692.8
11/28/2024,ISRL-KST,240,ISRL-KST- ORDER - 49,1060,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,38,1.9304,1337.6
11/28/2024,ISRL-KST,240,ISRL-KST- ORDER - 49,1060,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER ,10,0.0179,60,1.074,600
11/28/2024,ISRL-KST,240,ISRL-KST- ORDER - 49,1060,103162,16X6-8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,20,0.514,332
11/28/2024,ISRL-KST,240,ISRL-KST- ORDER - 49,1060,104012,18X7-8  ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,70,2.121,1463
11/28/2024,ISRL-KST,240,ISRL-KST- ORDER - 49,1060,139162,300-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,14,2.3814,1528.8
11/28/2024,ISRL-KST,240,ISRL-KST- ORDER - 49,1060,119162,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,80,4.064,2832
11/28/2024,ISRL-KST,240,ISRL-KST- ORDER - 49,1060,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,70,4.837,3227
11/28/2024,ISRL-KST,240,ISRL-KST- ORDER - 49,1060,135012,8.15-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,40,4.096,2412
11/28/2024,ISRL-KST,240,ISRL-KST- ORDER - 49,1060,138162,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,91.5,0.1358,20,2.716,1830
11/28/2024,ISRL-KST,240,ISRL-KST- ORDER - 49,1060,138162,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,91.5,0.1358,4,0.5432,366
