Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
01.03.2024,ISRL-KST,44,ISRL-KST- ORDER -42,857,102161,5.00-8 (WIDE,ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,24,0.63,417.6
01.03.2024,ISRL-KST,44,ISRL-KST- ORDER -42,857,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0377,50,1.89,"1,320.00"
01.03.2024,ISRL-KST,44,ISRL-KST- ORDER -42,857,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,20,1.02,704
01.03.2024,ISRL-KST,44,ISRL-KST- ORDER -42,857,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,10,0.69,457.00
01.03.2024,ISRL-KST,44,ISRL-KST- ORDER -42,857,101162,15X4 1/2-8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.9,0.0161,200,3.22,"1,980.00"
01.03.2024,ISRL-KST,44,ISRL-KST- ORDER -42,857,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,150,2.69,"1,500.00"
01.03.2024,ISRL-KST,44,ISRL-KST- ORDER -42,857,103162,16X6-8  (WIDE),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,14,0.36,232.40
01.03.2024,ISRL-KST,44,ISRL-KST- ORDER -42,857,104012,18X7-8  ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,150,4.55,"3,135.00"
01.03.2024,ISRL-KST,44,ISRL-KST- ORDER -42,857,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,100,3.88,"2,390.00"
01.03.2024,ISRL-KST,44,ISRL-KST- ORDER -42,857,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,20,1.38,922
01.03.2024,ISRL-KST,44,ISRL-KST- ORDER -42,857,120162,23X9-10  (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.8,0.068,20,1.36,936
01.03.2024,ISRL-KST,44,ISRL-KST- ORDER -42,857,126012,23X10-12 ,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,50.7,0.0774,20,1.55,"1,014.00"
01.03.2024,ISRL-KST,44,ISRL-KST- ORDER -42,857,139162,300-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,15,2.55,"1,638.00"
01.03.2024,ISRL-KST,44,ISRL-KST- ORDER -42,857,104041,18X7-8  ,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.3,0.0316,10,0.32,203
01.03.2024,ISRL-KST,44,ISRL-KST- ORDER -42,857,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.1,0.0186,30,0.56,303
01.03.2024,ISRL-KST,44,ISRL-KST- ORDER -42,857,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0523,10,0.52,352
