Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
01.03.2024,ISRL-KST,57,ISRL-KST- ORDER-43 (R),870,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0377,50,1.89,"1,320.00"
01.03.2024,ISRL-KST,57,ISRL-KST- ORDER-43 (R),870,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,20,1.38,914.00
01.03.2024,ISRL-KST,57,ISRL-KST- ORDER-43 (R),870,101162,15X4 1/2-8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.9,0.0161,50,0.81,495
01.03.2024,ISRL-KST,57,ISRL-KST- ORDER-43 (R),870,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,201,3.6,"2,010.00"
01.03.2024,ISRL-KST,57,ISRL-KST- ORDER-43 (R),870,104012,18X7-8  ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,150,4.55,"3,135.00"
01.03.2024,ISRL-KST,57,ISRL-KST- ORDER-43 (R),870,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,176,6.83,"4,206.40"
01.03.2024,ISRL-KST,57,ISRL-KST- ORDER-43 (R),870,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,30,2.07,"1,383.00"
01.03.2024,ISRL-KST,57,ISRL-KST- ORDER-43 (R),870,120162,23X9-10  (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.8,0.068,50,3.4,"2,340.00"
01.03.2024,ISRL-KST,57,ISRL-KST- ORDER-43 (R),870,126012,23X10-12 ,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,50.7,0.0774,20,1.55,"1,014.00"
01.03.2024,ISRL-KST,57,ISRL-KST- ORDER-43 (R),870,139162,300-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,3,0.51,327.6
01.03.2024,ISRL-KST,57,ISRL-KST- ORDER-43 (R),870,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0523,10,0.52,352
