Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
07.03.2024,NLD-MTG,18,MTG-ORDER 04 (R2),828,141462,7.00-15,MAGNA MA610,BLACK,CLIP,5.5,2 LAYER,59.7,0.1107,8,0.89,477.6
07.03.2024,NLD-MTG,18,MTG-ORDER 04 (R2),828,111541,6.00-9 (WIDE),MAGNA MA610 PRO3,BLACK,STD,4,3 LAYER,26.4,0.0383,70,2.68,"1,848.00"
07.03.2024,NLD-MTG,18,MTG-ORDER 04 (R2),828,119541,6.50-10 (WIDE),MAGNA MA610 PRO3,BLACK,STD,5,3 LAYER,35.2,0.0508,12,0.61,422.4
07.03.2024,NLD-MTG,18,MTG-ORDER 04 (R2),828,101542,15X4 1/2-8 (WIDE),MAGNA MA610 PRO3,BLACK,CLIP,3,3 LAYER,9.9,0.0161,8,0.13,79.2
07.03.2024,NLD-MTG,18,MTG-ORDER 04 (R2),828,100532,4.00-8,MAGNA MA610 PRO3,BLACK,CLIP,3,3 LAYER,10.9,0.0166,8,0.13,87.2
07.03.2024,NLD-MTG,18,MTG-ORDER 04 (R2),828,110532,140/55-9,MAGNA MA610 PRO3,BLACK,CLIP,4,3 LAYER,10,0.0179,12,0.21,120
07.03.2024,NLD-MTG,18,MTG-ORDER 04 (R2),828,103542,16X6-8  (WIDE),MAGNA MA610 PRO3,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,6,0.15,99.6
07.03.2024,NLD-MTG,18,MTG-ORDER 04 (R2),828,104532,18X7-8  ,MAGNA MA610 PRO3,BLACK,CLIP,4.33,3 LAYER,20.8,0.0303,8,0.24,166.4
07.03.2024,NLD-MTG,18,MTG-ORDER 04 (R2),828,118532,200/50-10,MAGNA MA610 PRO3,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,12,0.47,286.8
07.03.2024,NLD-MTG,18,MTG-ORDER 04 (R2),828,112542,21x8-9 (WIDE),MAGNA MA610 PRO3,BLACK,CLIP,6,3 LAYER,34.8,0.049,12,0.59,417.6
07.03.2024,NLD-MTG,18,MTG-ORDER 04 (R2),828,119542,6.50-10 (WIDE),MAGNA MA610 PRO3,BLACK,CLIP,5,3 LAYER,35.4,0.0508,34,1.73,"1,203.60"
07.03.2024,NLD-MTG,18,MTG-ORDER 04 (R2),828,125532,7.00-12,MAGNA MA610 PRO3,BLACK,CLIP,5,3 LAYER,46.1,0.0691,80,5.53,"3,688.00"
07.03.2024,NLD-MTG,18,MTG-ORDER 04 (R2),828,120542,23X9-10  (WIDE),MAGNA MA610 PRO3,BLACK,CLIP,6.5,3 LAYER,46.8,0.068,10,0.68,468
07.03.2024,NLD-MTG,18,MTG-ORDER 04 (R2),828,135532,28x9-15,MAGNA MA610 PRO3,BLACK,CLIP,7,3 LAYER,60.3,0.1024,60,6.14,"3,618.00"
07.03.2024,NLD-MTG,18,MTG-ORDER 04 (R2),828,133532,2.50-15,MAGNA MA610 PRO3,BLACK,CLIP,7,3 LAYER,65.2,0.1049,20,2.1,"1,304.00"
07.03.2024,NLD-MTG,18,MTG-ORDER 04 (R2),828,127532,27x10-12,MAGNA MA610 PRO3,BLACK,CLIP,8,3 LAYER,73.4,0.1066,12,1.28,880.8
07.03.2024,NLD-MTG,18,MTG-ORDER 04 (R2),828,136532,28X12 1/2-15  ,MAGNA MA610 PRO3,BLACK,CLIP,9.75,3 LAYER,83.6,0.1354,8,1.08,668.8
07.03.2024,NLD-MTG,18,MTG-ORDER 04 (R2),828,138542,8.25-15 (WIDE),MAGNA MA610 PRO3,BLACK,CLIP,6.5,3 LAYER,91.5,0.1358,20,2.72,"1,830.00"
07.03.2024,NLD-MTG,18,MTG-ORDER 04 (R2),828,139542,300-15 (WIDE),MAGNA MA610 PRO3,BLACK,CLIP,8,3 LAYER,109.2,0.1701,8,1.36,873.6
