Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
12/24/2024,NLD-MTG,259,MTG-ORDER 12,1079,102541,5.00-8 WIDE,MAGNA MA610 PRO3,BLACK,STD,3,3 LAYER,17.4,0.0263,8,0.21,139.2
12/24/2024,NLD-MTG,259,MTG-ORDER 12,1079,111541,6.00-9 WIDE,MAGNA MA610 PRO3,BLACK,STD,4,3 LAYER,26.6,0.0383,12,0.46,319.2
12/24/2024,NLD-MTG,259,MTG-ORDER 12,1079,119541,6.50-10 WIDE,MAGNA MA610 PRO3,BLACK,STD,5,3 LAYER,35.1,0.0508,16,0.81,561.6
12/24/2024,NLD-MTG,259,MTG-ORDER 12,1079,125531,7.00-12,MAGNA MA610 PRO3,BLACK,STD,5,3 LAYER,45.6,0.0691,16,1.11,729.6
12/24/2024,NLD-MTG,259,MTG-ORDER 12,1079,139541,300-15(315/70-15) WIDE,MAGNA MA610 PRO3,BLACK,STD,8,3 LAYER,109.2,0.1701,4,0.68,436.8
12/24/2024,NLD-MTG,259,MTG-ORDER 12,1079,156531,12.00-20,MAGNA MA610 PRO3,BLACK,STD,8.5,3 LAYER,199.4,0.3074,2,0.61,398.8
12/24/2024,NLD-MTG,259,MTG-ORDER 12,1079,101542,15x4.1/2-8(125/75-8) WIDE,MAGNA MA610 PRO3,BLACK,CLIP,3,3 LAYER,9.8,0.0161,18,0.29,176.4
12/24/2024,NLD-MTG,259,MTG-ORDER 12,1079,110532,140/55-9,MAGNA MA610 PRO3,BLACK,CLIP,4,3 LAYER,10,0.0179,18,0.32,180
12/24/2024,NLD-MTG,259,MTG-ORDER 12,1079,103542,16x6-8(150/75-8) WIDE,MAGNA MA610 PRO3,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,18,0.46,298.8
12/24/2024,NLD-MTG,259,MTG-ORDER 12,1079,104532,18X7-8  ,MAGNA MA610 PRO3,BLACK,CLIP,4.33,3 LAYER,20.8,0.0303,40,1.21,832
12/24/2024,NLD-MTG,259,MTG-ORDER 12,1079,112542,21x8-9(200/75-9) WIDE,MAGNA MA610 PRO3,BLACK,CLIP,6.5,3 LAYER,34.6,0.049,12,0.59,415.2
12/24/2024,NLD-MTG,259,MTG-ORDER 12,1079,111542,6.00-9 WIDE,MAGNA MA610 PRO3,BLACK,CLIP,4,3 LAYER,26.8,0.0383,4,0.15,107.2
