Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
45267,Belarus - JSC,277,BEL-JSC-22,798,104001,18X7-8,ACHIEVER,BLACK,STD,4.33,2 LAYER,20.8,0.0303,4,0.12,83.2
45267,Belarus - JSC,277,BEL-JSC-22,798,119241,6.50 - 10 ( WIDE),ACHIEVER,BLACK,STD,5,2 LAYER,35.8,0.0508,60,3.05,"2,148.00"
45267,Belarus - JSC,277,BEL-JSC-22,798,125001,7.00 - 12,ACHIEVER,BLACK,STD,5,2 LAYER,46.8,0.0691,25,1.73,"1,170.00"
45267,Belarus - JSC,277,BEL-JSC-22,798,138002,8.25-15,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,84.5,0.1232,4,0.49,338
45267,Belarus - JSC,277,BEL-JSC-22,798,133002,2.50-15,ACHIEVER,BLACK,CLIP,7,2 LAYER,66.3,0.1049,4,0.42,265.2
45267,Belarus - JSC,277,BEL-JSC-22,798,139002,3.00-15,ACHIEVER,BLACK,CLIP,8,2 LAYER,104.3,0.1563,2,0.31,208.6
45267,Belarus - JSC,277,BEL-JSC-22,798,103041,16 x 6 - 8,ACHIEVER,NM,STD,4.33,2 LAYER,16.4,0.0244,2,0.05,32.8
45267,Belarus - JSC,277,BEL-JSC-22,798,100011,4.00-8,ACHIEVER PLUS,BLACK,STD,3,2 LAYER,10.9,0.0166,16,0.27,174.4
45267,Belarus - JSC,277,BEL-JSC-22,798,102161,5.00 - 8( WIDE),ACHIEVER PLUS,BLACK,STD,3,2 LAYER,17.4,0.0263,24,0.63,417.6
45267,Belarus - JSC,277,BEL-JSC-22,798,111161,6.00 - 9 ( WIDE),ACHIEVER PLUS,BLACK,STD,4,2 LAYER,26.4,0.0383,14,0.54,369.6
45267,Belarus - JSC,277,BEL-JSC-22,798,119161,6.50 - 10( WIDE),ACHIEVER PLUS,BLACK,STD,5,2 LAYER,35.2,0.0508,30,1.52,"1,056.00"
45267,Belarus - JSC,277,BEL-JSC-22,798,125011,7.00 - 12,ACHIEVER PLUS,BLACK,STD,5,2 LAYER,45.7,0.0691,10,0.69,457
45267,Belarus - JSC,277,BEL-JSC-22,798,135011,"28X9-15, 8.15-15",ACHIEVER PLUS,BLACK,STD,7,2 LAYER,59.3,0.1024,4,0.41,237.2
45267,Belarus - JSC,277,BEL-JSC-22,798,139161,3.00-15( WIDE),ACHIEVER PLUS,BLACK,STD,8,2 LAYER,108.7,0.1701,2,0.34,217.4
45267,Belarus - JSC,277,BEL-JSC-22,798,135012,"28X9-15, 8.15-15",ACHIEVER PLUS,BLACK,CLIP,7,2 LAYER,60.3,0.1024,4,0.41,241.2
45267,Belarus - JSC,277,BEL-JSC-22,798,138162,8.25-15(WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,2 LAYER,91.5,0.0358,4,0.14,366
45267,Belarus - JSC,277,BEL-JSC-22,798,139162,3.00-15  (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,2 LAYER,109.2,0.1701,4,0.68,436.8
45267,Belarus - JSC,277,BEL-JSC-22,798,102041,5.00 - 8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,80,2.07,"1,368.00"
45267,Belarus - JSC,277,BEL-JSC-22,798,104041,18 x 7 - 8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.5,0.0316,26,0.82,533
45267,Belarus - JSC,277,BEL-JSC-22,798,111041,6.00 - 9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.8,0.039,36,1.4,964.8
45267,Belarus - JSC,277,BEL-JSC-22,798,112041,21X8- 9,RUNNERSOLID,BLACK,STD,6,3 LAYER,33.2,0.0494,8,0.4,265.6
45267,Belarus - JSC,277,BEL-JSC-22,798,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,64,3.35,"2,233.60"
45267,Belarus - JSC,277,BEL-JSC-22,798,125041,7.00 - 12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,10,0.73,469
45267,Belarus - JSC,277,BEL-JSC-22,798,103042,16X6-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.6,0.0263,6,0.16,99.6
45267,Belarus - JSC,277,BEL-JSC-22,798,104042,18 x 7 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,22,0.7,457.6
45267,Belarus - JSC,277,BEL-JSC-22,798,112042,21X8- 9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.5,0.0494,4,0.2,134
45267,Belarus - JSC,277,BEL-JSC-22,798,119042,6.50 - 10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,10,0.52,353
45267,Belarus - JSC,277,BEL-JSC-22,798,125042,7.00 - 12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.8,0.0725,2,0.15,95.6
45267,Belarus - JSC,277,BEL-JSC-22,798,127042,27 x 10 - 12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.6,0.1051,4,0.42,278.4
45267,Belarus - JSC,277,BEL-JSC-22,798,102043,5.00.8,RUNNERSOLID,NM,STD,3,3 LAYER,17.2,0.0259,20,0.52,344
45267,Belarus - JSC,277,BEL-JSC-22,798,111043,6.00 - 9,RUNNERSOLID,NM,STD,4,3 LAYER,26.8,0.039,6,0.23,160.8
45267,Belarus - JSC,277,BEL-JSC-22,798,125043,7.00 - 12,RUNNERSOLID,NM,STD,5,3 LAYER,47.9,0.0725,2,0.15,95.8
45267,Belarus - JSC,277,BEL-JSC-22,798,101044,15 x 4.5 - 8,RUNNERSOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,12,0.21,123.6
45267,Belarus - JSC,277,BEL-JSC-22,798,103044,16X6-8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,16.6,0.0263,2,0.05,33.2
