Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,156221,12.00-20 (CW),ACHIEVER,BLACK,STD,8.5,2 LAYER ,255.4,0.3074,12,3.69,"3,064.80"
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,152001,10.00-20,ACHIEVER,BLACK,STD,7,2 LAYER ,158,0.246,32,7.87,"5,056.00"
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,156001,12.00-20 ,ACHIEVER,BLACK,STD,8.5,2 LAYER ,207.4,0.3074,12,3.69,"2,488.80"
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,111011,6.00-9,ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26,0.0377,6,0.23,156
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,119011,6.50-10,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,33.7,0.0488,6,0.29,202.2
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,4,0.28,182.8
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,104012,18 x 7 - 8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER ,20.9,0.0303,40,1.21,836
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,23.9,0.0388,10,0.39,239
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,120012,23 x 9 - 10 (225/75-10),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,44.5,0.0627,36,2.26,"1,602.00"
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER ,46.1,0.0691,4,0.28,184.4
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,133012,2.50 - 15(250/70-15),ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER ,65.2,0.1049,10,1.05,652
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,127012,27 x 10 - 12(250/75-12),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER ,73.4,0.1066,4,0.43,293.6
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,135012,28 x 9 - 15 ,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER ,60.3,0.1024,4,0.41,241.2
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,139012,300 - 15(315/70-15),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER ,102.8,0.1563,4,0.63,411.2
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,140012,355/65-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER ,124.8,0.1852,2,0.37,249.6
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,119013,6.50-10,ACHIEVER PLUS,NM,STD,5,3 LAYER ,32.3,0.0488,6,0.29,193.8
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,119014,6.50-10,ACHIEVER PLUS,NM,CLIP,5,3 LAYER ,32.9,0.0488,2,0.1,65.8
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,101042,15 x 4.5 - 8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER ,10.3,0.0171,30,0.51,309
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,103042,16 x 6 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER ,16.6,0.0263,10,0.26,166
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER ,10.3,0.0186,30,0.56,309
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,126012,23 x 10 - 12 ,RUNNERSOLID,BLACK,CLIP,8,3 LAYER ,50.7,,2,0,101.4
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,101044,15 x 4.5 - 8,RUNNERSOLID,NM,CLIP,3,3 LAYER ,10.3,0.0171,34,0.58,350.2
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,103044,16 x 6 - 8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER ,16.6,0.0263,8,0.21,132.8
5/12/2023,POLAND,276,POLAND-DIR-Order 09 ,795,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,3 LAYER ,10.4,0.0186,16,0.3,166.32
