Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,104001,18X7-8,ACHIEVER,BLACK,STD,4.33,2 LAYER,20.8,0.0303,4,0.1212,83.2
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,119241,6.50 - 10 ( WIDE),ACHIEVER,BLACK,STD,5.00,2 LAYER,35.6,0.0508,60,3.048,2136
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,125001,7.00 - 12,ACHIEVER,BLACK,STD,5,2 LAYER,46.8,0.0691,25,1.7275,1170
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,138002,8.25-15,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,84.5,0.1232,2,0.2464,169
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,133002,2.50-15,ACHIEVER,BLACK,CLIP,7.00,2 LAYER,66.3,0.1049,2,0.2098,132.6
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,139002,3.00-15,ACHIEVER,BLACK,CLIP,8,2 LAYER,104.2,0.1563,2,0.3126,208.4
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,103041,16 x 6 - 8,ACHIEVER,NM,STD,4.33,2 LAYER,16.4,0.0244,4,0.0976,65.6
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,100011,4.00-8,ACHIEVER PLUS,BLACK,STD,3,2 LAYER,10.9,0.0166,14,0.2324,152.6
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,102011,5.00 - 8( WIDE),ACHIEVER PLUS,BLACK,STD,3.00,2 LAYER,15.6,0.0263,26,0.6838,405.6
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,111011,6.00 - 9 ( WIDE),ACHIEVER PLUS,BLACK,STD,4.00,2 LAYER,26,0.0383,16,0.6128,416
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,119011,6.50 - 10( WIDE),ACHIEVER PLUS,BLACK,STD,5.00,2 LAYER,33.7,0.0508,30,1.524,1011
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,125011,7.00 - 12,ACHIEVER PLUS,BLACK,STD,5,2 LAYER,45.7,0.0691,8,0.5528,365.6
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,135011,"28X9-15, 8.15-15",ACHIEVER PLUS,BLACK,STD,7,2 LAYER,59.3,0.1024,4,0.4096,237.2
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,139011,3.00-15( WIDE),ACHIEVER PLUS,BLACK,STD,8,2 LAYER,101.7,0.1701,4,0.6804,406.8
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,135012,"28X9-15, 8.15-15",ACHIEVER PLUS,BLACK,CLIP,7,2 LAYER,60.3,0.1024,6,0.6144,361.8
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,138012,8.25-15(WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,2 LAYER,81.3,0.0358,2,0.0716,162.6
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,139012,3.00-15  (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,2 LAYER,103.5,0.1701,2,0.3402,207
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,102041,5.00 - 8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,80,2.072,1368
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,104041,18 x 7 - 8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.5,0.0316,24,0.7584,492
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,111041,6.00 - 9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.8,0.039,34,1.326,911.2
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,112041,21X8- 9,RUNNERSOLID,BLACK,STD,6,3 LAYER,33.2,0.0494,8,0.3952,265.6
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,66,3.4518,2303.4
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,125041,7.00 - 12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,10,0.725,469
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,103042,16X6-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.6,0.0263,4,0.1052,66.4
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,104042,18 x 7 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,22,0.6952,457.6
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,112042,21X8- 9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.5,0.0494,4,0.1976,134
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,119042,6.50 - 10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,10,0.523,353
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,125042,7.00 - 12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.8,0.0725,2,0.145,95.6
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,127042,27 x 10 - 12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.6,0.1051,2,0.2102,139.2
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,102043,5.00.8,RUNNERSOLID,NM,STD,3,3 LAYER,17.2,0.0259,20,0.518,344
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,111043,6.00 - 9,RUNNERSOLID,NM,STD,4,3 LAYER,26.9,0.039,6,0.234,161.4
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,101044,15 x 4.5 - 8,RUNNERSOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,14,0.2394,144.2
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,103044,16X6-8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,16.8,0.0263,4,0.1052,67.2
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,104044,18 x 7 - 8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,21,0.0316,8,0.2528,168
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,112044,21X8- 9,RUNNERSOLID,NM,CLIP,6,3 LAYER,33.8,0.0494,3,0.1482,101.4
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,119044,6.50 - 10,RUNNERSOLID,NM,CLIP,5,3 LAYER,35.8,0.0523,2,0.1046,71.6
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,135051,8.15-15 (28x9-15),ROCKSOLID,BLACK,STD,7,3 LAYER,59.7,0.1064,8,0.8512,477.6
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,138051,8.25-15,ROCKSOLID,BLACK,STD,6.5,3 LAYER,88.7,0.1385,3,0.4155,266.1
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,139051,3.00-15,ROCKSOLID,BLACK,STD,8,3 LAYER,108.1,0.1711,5,0.8555,540.5
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,133052,2.50-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,67.1,0.1149,7,0.8043,469.7
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,135052,8.15-15 (28x9-15),ROCKSOLID,BLACK,CLIP,7,3 LAYER,60.6,0.1064,10,1.064,606
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,138052,8.25-15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,89.2,0.1385,6,0.831,535.2
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,139052,3.00-15,ROCKSOLID,BLACK,CLIP,8,3 LAYER,109.1,0.1711,9,1.5399,981.9
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,138054,8.25-15,ROCKSOLID,NM,CLIP,6.5,3 LAYER,89.8,0.1385,3,0.4155,269.4
12/7/2023,Belarus - JSC,277,BEL-JSC-22,797,139054,3.00-15,ROCKSOLID,NM,CLIP,8,3 LAYER,109.3,0.1711,3,0.5133,327.9
