Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
30.12.2023,KOREA,286,KOR-NTC-17-1,806,100311,4.00-8,NEXEN ,BLACK,STD,3,APPROVED NEXEN COMPOUND,10.82,0.0169,102,1.72,"1,103.64"
30.12.2023,KOREA,286,KOR-NTC-17-1,806,102301,5.00-8,NEXEN ALLPRO,BLACK,STD,3,APPROVED NEXEN COMPOUND,16.03,0.0244,100,2.44,1603
30.12.2023,KOREA,286,KOR-NTC-17-1,806,111301,6.00-9,NEXEN ALLPRO,BLACK,STD,4,APPROVED NEXEN COMPOUND,25.6,0.0379,50,1.9,1280
30.12.2023,KOREA,286,KOR-NTC-17-1,806,112301,21x8-9,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,33.1,0.049,50,2.45,1655
30.12.2023,KOREA,286,KOR-NTC-17-1,806,120301,23x9-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,30,2.05,1392
30.12.2023,KOREA,286,KOR-NTC-17-1,806,126301,23x10-12,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,49.9,0.0798,20,1.6,998
30.12.2023,KOREA,286,KOR-NTC-17-1,806,135301,8.15-15,NEXEN ALLPRO,BLACK,STD,7,APPROVED NEXEN COMPOUND,58.5,0.1011,28,2.83,1638
30.12.2023,KOREA,286,KOR-NTC-17-1,806,102302,5.00-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,16.14,0.0244,10,0.24,161.4
30.12.2023,KOREA,286,KOR-NTC-17-1,806,112302,21x8-9,NEXEN ALLPRO,BLACK,CLIP,6,APPROVED NEXEN COMPOUND,33.4,0.049,30,1.47,1002
30.12.2023,KOREA,286,KOR-NTC-17-1,806,111302,6.00-9,NEXEN ALLPRO,BLACK,CLIP,4,APPROVED NEXEN COMPOUND,25.99,0.0379,25,0.95,649.75
30.12.2023,KOREA,286,KOR-NTC-17-1,806,118302,200/50-10,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,24.03,0.0404,30,1.21,720.9
30.12.2023,KOREA,286,KOR-NTC-17-1,806,126302,23x10-12,NEXEN ALLPRO,BLACK,CLIP,8,APPROVED NEXEN COMPOUND,50.31,0.0798,10,0.8,503.1
30.12.2023,KOREA,286,KOR-NTC-17-1,806,135302,8.15-15,NEXEN ALLPRO,BLACK,CLIP,7,APPROVED NEXEN COMPOUND,59.3,0.1011,70,7.08,4151
