Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
3/31/2024,nexen,,KOR-NTC-20,9000,100311,4.00-8,NEXEN ,BLACK,STD,3,APPROVED NEXEN COMPOUND,10.82,0.0169,650,10.99,7033
3/31/2024,nexen,,KOR-NTC-20,9000,102301,5.00-8,NEXEN ALLPRO,BLACK,STD,3,APPROVED NEXEN COMPOUND,16.03,0.0244,300,7.32,"4,809.00"
3/31/2024,nexen,,KOR-NTC-20,9000,118301,200/50-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,23.67,0.0404,10,0.4,236.70
3/31/2024,nexen,,KOR-NTC-20,9000,111301,6.00-9,NEXEN ALLPRO,BLACK,STD,4,APPROVED NEXEN COMPOUND,25.6,0.0379,150,5.69,"3,840.00"
3/31/2024,nexen,,KOR-NTC-20,9000,112301,21x8-9,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,33.1,0.049,130,6.37,4303
3/31/2024,nexen,,KOR-NTC-20,9000,120301,23x9-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,80,5.46,"3,712.00"
3/31/2024,nexen,,KOR-NTC-20,9000,126301,23x10-12,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,49.9,0.0798,115,9.18,5738.5
3/31/2024,nexen,,KOR-NTC-20,9000,135301,8.15-15,NEXEN ALLPRO,BLACK,STD,7,APPROVED NEXEN COMPOUND,58.5,0.1011,150,15.17,8775
3/31/2024,nexen,,KOR-NTC-20,9000,141301,7.00-15,NEXEN ALLPRO,BLACK,STD,5.5,APPROVED NEXEN COMPOUND,56.35,0.0922,100,9.22,5635
3/31/2024,nexen,,KOR-NTC-20,9000,171301,7.50-16,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,71.72,0.1162,110,12.78,7889.2
3/31/2024,nexen,,KOR-NTC-20,9000,139301,3.00-15,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,107.75,0.1661,10,1.66,1077.5
3/31/2024,nexen,,KOR-NTC-20,9000,101302,15x4 1/2-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,9.42,0.0158,25,0.4,235.5
3/31/2024,nexen,,KOR-NTC-20,9000,102302,5.00-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,16.14,0.0244,100,2.44,1614
3/31/2024,nexen,,KOR-NTC-20,9000,118302,200/50-10,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,24.03,0.0404,30,1.21,720.9
3/31/2024,nexen,,KOR-NTC-20,9000,111302,6.00-9,NEXEN ALLPRO,BLACK,CLIP,4,APPROVED NEXEN COMPOUND,25.99,0.0379,25,0.95,649.75
3/31/2024,nexen,,KOR-NTC-20,9000,112302,21x8-9,NEXEN ALLPRO,BLACK,CLIP,6,APPROVED NEXEN COMPOUND,33.4,0.049,20,0.98,668
3/31/2024,nexen,,KOR-NTC-20,9000,120302,23x9-10,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,20,1.36,928
3/31/2024,nexen,,KOR-NTC-20,9000,126302,23x10-12,NEXEN ALLPRO,BLACK,CLIP,8,APPROVED NEXEN COMPOUND,50.31,0.0798,5,0.4,251.55
3/31/2024,nexen,,KOR-NTC-20,9000,141302,7.00-15,NEXEN ALLPRO,BLACK,CLIP,5.5,APPROVED NEXEN COMPOUND,57,0.0922,20,1.84,1140
3/31/2024,nexen,,KOR-NTC-20,9000,135302,8.15-15,NEXEN ALLPRO,BLACK,CLIP,7,APPROVED NEXEN COMPOUND,59.3,0.1011,100,10.11,5930
