Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
4/24/2024,KOREA,,KOR-NTC-21 C01,9000,100311,4.00-8,,,,,,10.82,0.0169,150,2.54,"1,623.00"
4/24/2024,KOREA,,KOR-NTC-21 C01,9000,102301,5.00-8,,,,,,16.03,0.0244,100,2.44,"1,603.00"
4/24/2024,KOREA,,KOR-NTC-21 C01,9000,118301,200/50-10,,,,,,23.67,0.0404,15,0.61,355.05
4/24/2024,KOREA,,KOR-NTC-21 C01,9000,111301,6.00-9,,,,,,25.6,0.0379,50,1.9,"1,280.00"
4/24/2024,KOREA,,KOR-NTC-21 C01,9000,112301,21x8-9,,,,,,33.1,0.049,50,2.45,"1,655.00"
4/24/2024,KOREA,,KOR-NTC-21 C01,9000,120301,23x9-10,,,,,,46.4,0.0682,35,2.39,"1,624.00"
4/24/2024,KOREA,,KOR-NTC-21 C01,9000,126301,23x10-12,,,,,,49.9,0.0798,25,2,"1,247.50"
4/24/2024,KOREA,,KOR-NTC-21 C01,9000,135301,8.15-15,,,,,,58.5,0.1011,50,5.06,"2,925.00"
4/24/2024,KOREA,,KOR-NTC-21 C01,9000,141301,7.00-15,,,,,,56.35,0.0922,30,2.77,"1,690.50"
4/24/2024,KOREA,,KOR-NTC-21 C01,9000,118302,200/50-10,,,,,,24.03,0.0404,30,1.21,720.9
4/24/2024,KOREA,,KOR-NTC-21 C01,9000,111302,6.00-9,,,,,,25.99,0.0379,40,1.52,"1,039.60"
4/24/2024,KOREA,,KOR-NTC-21 C01,9000,112302,21x8-9,,,,,,33.4,0.049,50,2.45,"1,670.00"
4/24/2024,KOREA,,KOR-NTC-21 C01,9000,126302,23x10-12,,,,,,50.31,0.0798,5,0.4,251.55
4/24/2024,KOREA,,KOR-NTC-21 C01,9000,135302,8.15-15,,,,,,59.3,0.1011,18,1.82,"1,067.40"
