Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
14.02.2024,KOREA,,KOR-NTC-19,7000,100311,4.00-8,NEXEN ,BLACK,STD,3,APPROVED NEXEN COMPOUND,10.82,0.0169,200,3.38,2164
14.02.2024,KOREA,,KOR-NTC-19,7000,102301,5.00-8,NEXEN ALLPRO,BLACK,STD,3,APPROVED NEXEN COMPOUND,16.03,0.0244,500,12.2,8015
14.02.2024,KOREA,,KOR-NTC-19,7000,118301,200/50-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,23.67,0.0404,25,1.01,591.75
14.02.2024,KOREA,,KOR-NTC-19,7000,111301,6.00-9,NEXEN ALLPRO,BLACK,STD,4,APPROVED NEXEN COMPOUND,25.6,0.0379,300,11.37,"7,680.00"
14.02.2024,KOREA,,KOR-NTC-19,7000,112301,21x8-9,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,33.1,0.049,200,9.8,"6,620.00"
14.02.2024,KOREA,,KOR-NTC-19,7000,120301,23x9-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,170,11.59,7888
14.02.2024,KOREA,,KOR-NTC-19,7000,126301,23x10-12,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,49.9,0.0798,125,9.98,"6,237.50"
14.02.2024,KOREA,,KOR-NTC-19,7000,135301,8.15-15,NEXEN ALLPRO,BLACK,STD,7,APPROVED NEXEN COMPOUND,58.5,0.1011,360,36.4,"21,060.00"
14.02.2024,KOREA,,KOR-NTC-19,7000,141301,7.00-15,NEXEN ALLPRO,BLACK,STD,5.5,APPROVED NEXEN COMPOUND,56.35,0.0922,130,11.99,7325.5
14.02.2024,KOREA,,KOR-NTC-19,7000,171301,7.50-16,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,71.72,0.1162,150,17.43,10758
14.02.2024,KOREA,,KOR-NTC-19,7000,139301,3.00-15,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,107.75,0.1661,30,4.98,3232.5
14.02.2024,KOREA,,KOR-NTC-19,7000,101302,15x4 1/2-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,9.42,0.0158,9,0.14,84.78
14.02.2024,KOREA,,KOR-NTC-19,7000,102302,5.00-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,16.14,0.0244,100,2.44,1614
14.02.2024,KOREA,,KOR-NTC-19,7000,118302,200/50-10,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,24.03,0.0404,20,0.81,480.6
14.02.2024,KOREA,,KOR-NTC-19,7000,111302,6.00-9,NEXEN ALLPRO,BLACK,CLIP,4,APPROVED NEXEN COMPOUND,25.99,0.0379,50,1.9,1299.5
14.02.2024,KOREA,,KOR-NTC-19,7000,112302,21x8-9,NEXEN ALLPRO,BLACK,CLIP,6,APPROVED NEXEN COMPOUND,33.4,0.049,80,3.92,2672
14.02.2024,KOREA,,KOR-NTC-19,7000,120302,23x9-10,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,10,0.68,464
14.02.2024,KOREA,,KOR-NTC-19,7000,126302,23x10-12,NEXEN ALLPRO,BLACK,CLIP,8,APPROVED NEXEN COMPOUND,50.31,0.0798,25,2,1257.75
14.02.2024,KOREA,,KOR-NTC-19,7000,141302,7.00-15,NEXEN ALLPRO,BLACK,STD,5.5,APPROVED NEXEN COMPOUND,57,0.0922,20,1.84,1140
14.02.2024,KOREA,,KOR-NTC-19,7000,135302,8.15-15,NEXEN ALLPRO,BLACK,CLIP,7,APPROVED NEXEN COMPOUND,59.3,0.1011,90,9.1,5337
