Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
5/8/2024,POL-4XT,87,POL-4XT - ORDER 05 (R),882,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,70,2.73,"1,862.00"
5/8/2024,POL-4XT,87,POL-4XT - ORDER 05 (R),882,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,50,2.62,"1,740.00"
5/8/2024,POL-4XT,87,POL-4XT - ORDER 05 (R),882,125041,7.00 - 12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,70,5.08,"3,283.00"
5/8/2024,POL-4XT,87,POL-4XT - ORDER 05 (R),882,101042,15 X 4 1/2 - 8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.1,0.0171,160,2.74,"1,616.00"
5/8/2024,POL-4XT,87,POL-4XT - ORDER 05 (R),882,111042,6.00-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,26.9,0.039,10,0.39,269
5/8/2024,POL-4XT,87,POL-4XT - ORDER 05 (R),882,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0523,10,0.52,352
5/8/2024,POL-4XT,87,POL-4XT - ORDER 05 (R),882,120042,23 X 9 - 10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,30,1.97,"1,341.00"
5/8/2024,POL-4XT,87,POL-4XT - ORDER 05 (R),882,125042,7.00 - 12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.5,0.0725,10,0.73,475
5/8/2024,POL-4XT,87,POL-4XT - ORDER 05 (R),882,111043,6.00-9,RUNNERSOLID,NM,STD,4,3 LAYER,26.7,0.039,10,0.39,267
5/8/2024,POL-4XT,87,POL-4XT - ORDER 05 (R),882,119043,6.50-10,RUNNERSOLID,NM,STD,5,3 LAYER,35.1,0.0523,10,0.52,351
5/8/2024,POL-4XT,87,POL-4XT - ORDER 05 (R),882,125043,7.00 - 12,RUNNERSOLID,NM,STD,5,3 LAYER,46.8,0.0725,10,0.73,468
5/8/2024,POL-4XT,87,POL-4XT - ORDER 05 (R),882,101044,15 X 4 1/2 - 8,RUNNERSOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,200,3.42,"2,060.00"
5/8/2024,POL-4XT,87,POL-4XT - ORDER 05 (R),882,133051,2.50 - 15,ROCKSOLID,BLACK,STD,7,3 LAYER,66.6,0.1149,20,2.3,"1,332.00"
5/8/2024,POL-4XT,87,POL-4XT - ORDER 05 (R),882,139051,3.00-15,ROCKSOLID,BLACK,STD,8,3 LAYER,107.4,0.1711,6,1.03,644.4
5/8/2024,POL-4XT,87,POL-4XT - ORDER 05 (R),882,133052,2.50 - 15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,67.4,0.1149,30,3.45,"2,022.00"
5/8/2024,POL-4XT,87,POL-4XT - ORDER 05 (R),882,139052,3.00-15,ROCKSOLID,BLACK,CLIP,8,3 LAYER,108.5,0.1711,10,1.71,"1,085.00"
5/8/2024,POL-4XT,87,POL-4XT - ORDER 05 (R),882,140052,355/65-15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,128,0.2021,6,1.21,768
5/8/2024,POL-4XT,87,POL-4XT - ORDER 05 (R),882,140054,355/65-15,ROCKSOLID,NM,CLIP,9.75,3 LAYER,128.4,0.2021,4,0.81,513.6
