Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,101041,15 X 4 1/2 - 8,RUNNERSOLID,BLACK,STD,3,3 LAYER,10,0.0171,8,0.14,80.00
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,18,0.47,307.8
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,100042,4.00-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,11,0.0172,4,0.07,44
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,101042,15 X 4 1/2 - 8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.1,0.0171,100,1.71,"1,010.00"
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0316,60,1.9,"1,236.00"
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,102042,5.00-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,17.4,0.0259,10,0.26,174
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.1,0.0186,20,0.37,202.00
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,111042,6.00-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,26.9,0.039,20,0.78,538
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,112042,21x8-9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.3,0.0494,16,0.79,532.8
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,20,0.79,456
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0523,30,1.57,"1,056.00"
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,120042,23 X 9 - 10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,10,0.66,447
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,126042,23x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,20,1.53,942
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,127042,27x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.2,0.1051,8,0.84,553.6
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,141042,7.00-15,RUNNERSOLID,BLACK,CLIP,5.5,3 LAYER,56.3,0.0946,4,0.38,225.2
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,111043,6.00-9,RUNNERSOLID,NM,STD,4,3 LAYER,26.7,0.039,10,0.39,267
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,119043,6.50-10,RUNNERSOLID,NM,STD,5,3 LAYER,35.1,0.0523,10,0.52,351
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,101044,15 X 4 1/2 - 8,RUNNERSOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,100,1.71,"1,030.00"
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,102044,5.00-8,RUNNERSOLID,NM,CLIP,3,3 LAYER,17.4,0.0259,10,0.26,174
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,3 LAYER,10.2,0.0186,30,0.56,306
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,104044,18x7-8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,20.6,0.0316,60,1.9,"1,236.00"
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,112044,21x8-9,RUNNERSOLID,NM,CLIP,6,3 LAYER,33.5,0.0494,20,0.99,670
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,111044,6.00-9,RUNNERSOLID,NM,CLIP,4,3 LAYER,27,0.039,10,0.39,270
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,118044,200/50-10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,23.1,0.0394,10,0.39,231
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,119044,6.50-10,RUNNERSOLID,NM,CLIP,5,3 LAYER,35.6,0.0523,24,1.26,854.4
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,127044,27x10-12,RUNNERSOLID,NM,CLIP,8,3 LAYER,70.3,0.1051,8,0.84,562.4
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,141044,7.00-15,RUNNERSOLID,NM,CLIP,5.5,3 LAYER,56.3,0.0946,4,0.38,225.2
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,135051,28x9-15,ROCKSOLID,BLACK,STD,7,3 LAYER,59.3,0.1064,8,0.85,474.4
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,139051,3.00-15,ROCKSOLID,BLACK,STD,8,3 LAYER,107.4,0.1711,4,0.68,429.6
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,154051,10.00-20,ROCKSOLID,BLACK,STD,8,3 LAYER,168.6,0.279,6,1.67,"1,011.60"
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,135052,28x9-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,60.2,0.1064,8,0.85,481.6
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,133052,2.50 - 15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,67.4,0.1149,6,0.69,404.4
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,136052,28x12-1/2-15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,76.6,0.1365,6,0.82,459.6
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,137052,8.25-15,ROCKSOLID,BLACK,CLIP,5.5,3 LAYER,87.6,0.1385,12,1.66,"1,051.20"
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,139052,3.00-15,ROCKSOLID,BLACK,CLIP,8,3 LAYER,108.5,0.1711,8,1.37,868
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,137054,8.25-15,ROCKSOLID,NM,CLIP,5.5,3 LAYER,87,0.1385,8,1.11,696
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,139054,3.00-15,ROCKSOLID,NM,CLIP,8,3 LAYER,109.3,0.1711,4,0.68,437.2
6/13/2024,POL-4XT,119,POL-4XT (Order 04) - WDT ORDER 06,934,748071,840x406x559,RUNNERBAND,NM,SMOOTH,-,2 LAYER,188.1,0.2865,2,0.57,376.2
