Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs,
,POLAND,210,POLAND-DIR-Order 07,721,152221,10.00-20(CW),ACHIEVER,BLACK,STD,7,ARD 3001,2 LAYER ,206,0.246,24,5.9,"4,944.00"
,POLAND,210,POLAND-DIR-Order 07,721,156221,12.00-20 (CW),ACHIEVER,BLACK,STD,8.5,ARD 3002,2 LAYER ,255.4,0.3074,8,2.46,"2,043.20"
,POLAND,210,POLAND-DIR-Order 07,721,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,-,3 LAYER ,17.4,0.0263,25,0.66,435
,POLAND,210,POLAND-DIR-Order 07,721,111011,6.00-9,ACHIEVER PLUS,BLACK,STD,4,-,3 LAYER ,26,0.0377,30,1.13,780
,POLAND,210,POLAND-DIR-Order 07,721,119011,6.50-10,ACHIEVER PLUS,BLACK,STD,5,-,3 LAYER ,33.7,0.0488,10,0.49,337
,POLAND,210,POLAND-DIR-Order 07,721,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,-,3 LAYER ,45.7,0.0691,6,0.41,274.2
,POLAND,210,POLAND-DIR-Order 07,721,135011,8.15 - 15,ACHIEVER PLUS,BLACK,STD,7,-,3 LAYER ,59.3,0.1024,4,0.41,237.2
,POLAND,210,POLAND-DIR-Order 07,721,104012,18 x 7 - 8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,-,3 LAYER ,20.9,0.0303,10,0.3,209
,POLAND,210,POLAND-DIR-Order 07,721,112012,21 x 8 - 9 ,ACHIEVER PLUS,BLACK,CLIP,6,-,3 LAYER ,33.6,0.0478,10,0.48,336
,POLAND,210,POLAND-DIR-Order 07,721,119012,6.50-10,ACHIEVER PLUS,BLACK,CLIP,5,-,3 LAYER ,34.2,0.0488,10,0.49,342
,POLAND,210,POLAND-DIR-Order 07,721,120012,23 x 9 - 10 (225/75-10),ACHIEVER PLUS,BLACK,CLIP,6.5,-,3 LAYER ,44.5,0.0627,32,2.01,"1,424.00"
,POLAND,210,POLAND-DIR-Order 07,721,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,-,3 LAYER ,46.1,0.0691,6,0.41,276.6
,POLAND,210,POLAND-DIR-Order 07,721,135012,8.15 - 15,ACHIEVER PLUS,BLACK,CLIP,7,-,3 LAYER ,60.3,0.1024,12,1.23,723.6
,POLAND,210,POLAND-DIR-Order 07,721,133012,2.50 - 15(250/70-15),ACHIEVER PLUS,BLACK,CLIP,7,-,3 LAYER ,65.2,0.1049,16,1.68,"1,043.20"
,POLAND,210,POLAND-DIR-Order 07,721,127012,27 x 10 - 12(250/75-12),ACHIEVER PLUS,BLACK,CLIP,8,-,3 LAYER ,73.4,0.1066,12,1.28,880.8
,POLAND,210,POLAND-DIR-Order 07,721,138012,8.25-15,ACHIEVER PLUS,BLACK,CLIP,6.5,-,3 LAYER ,81.3,0.1232,10,1.23,813
,POLAND,210,POLAND-DIR-Order 07,721,139012,300 - 15(315/70-15),ACHIEVER PLUS,BLACK,CLIP,8,-,3 LAYER ,103.5,0.1563,10,1.56,"1,035.00"
,POLAND,210,POLAND-DIR-Order 07,721,136012,28 x 12.5 - 15 ,ACHIEVER PLUS,BLACK,CLIP,9.75,-,3 LAYER ,84.2,0.1354,2,0.27,168.4
,POLAND,210,POLAND-DIR-Order 07,721,140012,355/65-15,ACHIEVER PLUS,BLACK,CLIP,9.75,-,3 LAYER ,124.8,0.1852,6,1.11,748.8
,POLAND,210,POLAND-DIR-Order 07,721,104014,18 x 7-8 (180/70-8),ACHIEVER PLUS,NM,CLIP,4.33,-,3 LAYER ,20.4,0.0303,20,0.61,408
,POLAND,210,POLAND-DIR-Order 07,721,118014,200/50-10,ACHIEVER PLUS,NM,CLIP,6.5,-,3 LAYER ,23.6,0.0388,20,0.78,472
,POLAND,210,POLAND-DIR-Order 07,721,120014,23 x 9 - 10 (225/75-10),ACHIEVER PLUS,NM,CLIP,6.5,-,3 LAYER ,43.6,0.0627,4,0.25,174.4
,POLAND,210,POLAND-DIR-Order 07,721,126014,23 x 10 - 12 ,ACHIEVER PLUS,NM,CLIP,8,-,3 LAYER ,49.7,0.0774,2,0.15,99.4
,POLAND,210,POLAND-DIR-Order 07,721,127014,27 x 10 - 12(250/75-12),ACHIEVER PLUS,NM,CLIP,8,-,3 LAYER ,71.9,0.1066,2,0.21,143.8
,POLAND,210,POLAND-DIR-Order 07,721,101042,15 x 4.5 - 8,RUNNERSOLID,BLACK,CLIP,3,-,3 LAYER ,10.3,0.0171,10,0.17,103
,POLAND,210,POLAND-DIR-Order 07,721,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,-,3 LAYER ,10.3,0.0186,10,0.19,103
,POLAND,210,POLAND-DIR-Order 07,721,101044,15 x 4.5 - 8,RUNNERSOLID,NM,CLIP,3,-,3 LAYER ,10.3,0.0171,10,0.17,103
,POLAND,210,POLAND-DIR-Order 07,721,103044,16 x 6 - 8,RUNNERSOLID,NM,CLIP,4.33,-,3 LAYER ,16.8,0.0263,6,0.16,100.8
,POLAND,210,POLAND-DIR-Order 07,721,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,-,3 LAYER ,10.4,0.0186,10,0.19,103.95
