Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,102161,5.00 - 8 (Wide Wall),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,24,0.631,417.6
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,111161,6.00 - 9 (Wide Wall),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0383,20,0.766,528
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,101162,15X4 1/2-8 (Wide Wall),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER ,9.9,0.0161,80,1.288,792
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,110012,140/55 - 9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER ,10,0.0179,60,1.074,600
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,103162,16 x 6 - 8 (Wide Wall),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER ,16.6,0.0257,40,1.028,664
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,104012,18X7-8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER ,20.9,0.0303,150,4.545,"3,135.00"
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,118012,200/50 - 10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,23.9,0.0388,20,0.776,478
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,119162,6.50 - 10 (Wide Wall),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER ,35.4,0.0508,40,2.032,"1,416.00"
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,120162,23X9-10 (Wide Wall),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,46.8,0.068,24,1.632,"1,123.20"
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,125012,7.00 - 12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER ,46.1,0.0691,16,1.106,737.6
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,126012,23X10-12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER ,50.7,0.0774,4,0.31,202.8
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,127012,27X10-12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER ,73.4,0.1066,8,0.853,587.20
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,139012,300-15,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER ,103.5,0.1563,8,1.25,828
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,140012,355/65 - 15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER ,124.8,0.1852,6,1.111,748.80
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,102163,5.00 - 8 (Wide Wall),ACHIEVER PLUS,NM,STD,3,3 LAYER ,17,0.0263,30,0.789,510
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,104013,18 x 7- 8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,20,0.606,406
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,111163,6.00 - 9 (Wide Wall),ACHIEVER PLUS,NM,STD,4,3 LAYER ,25.7,0.0383,20,0.766,514
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,119163,6.50 - 10 (Wide Wall),ACHIEVER PLUS,NM,STD,5,3 LAYER ,34,0.0508,24,1.219,816
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,125013,7.00 - 12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,16,1.106,713.6
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,110014,140 / 55 - 9,ACHIEVER PLUS,NM,CLIP,4,3 LAYER ,9.85,0.0179,40,0.716,394
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,101164,15X4 1/2-8 (Wide Wall),ACHIEVER PLUS,NM,CLIP,4,3 LAYER ,9.7,0.0161,80,1.288,776
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,103164,16 x 6 - 8 (Wide Wall),ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER ,16.1,0.0257,12,0.308,193.2
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,104014,18 x 7- 8,ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER ,20.4,0.0303,80,2.424,"1,632.00"
2/12/2024,POL-GSZ,28,POL-GSC - Order 02,840,118014,200/50 - 10,ACHIEVER PLUS,NM,CLIP,6.5,3 LAYER ,23.6,0.0388,8,0.31,188.8
