Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,102241,5.00-8 (WIDE),ACHIEVER,BLACK,STD,3,2 LAYER,17.6,0.0232,4,0.0928,70.4
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,111241,6.00-9 (WIDE),ACHIEVER,BLACK,STD,4,2 LAYER,27.1,0.0383,4,0.1532,108.4
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,119241,6.50 - 10 (WIDE),ACHIEVER,BLACK,STD,5,2 LAYER,35.8,0.0488,4,0.1952,143.2
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,101002,15x4 1/2-8 ,ACHIEVER,BLACK,CLIP,3,3 LAYER,9.2,0.0147,4,0.0588,36.8
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,104002,18X7-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,4,0.1212,83.6
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,111242,6.00-9 (WIDE),ACHIEVER,BLACK,CLIP,4,2 LAYER,27.3,0.0383,4,0.1532,109.2
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,118002,200/50-10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,23.9,0.0388,12,0.4656,286.8
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,119242,6.50 - 10 (WIDE),ACHIEVER,BLACK,CLIP,5,2 LAYER,36.3,0.0488,4,0.1952,145.2
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,120242,23X9-10 (WIDE),ACHIEVER,BLACK,CLIP,6.5,2 LAYER,47.3,0.068,4,0.272,189.2
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0232,4,0.0928,69.6
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0383,4,0.1532,105.6
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,119161,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0488,4,0.1952,140.8
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,101162,15x4 1/2-8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.9,0.0147,4,0.0588,39.6
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,103162,16x6-8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,4.33,2 LAYER,16.6,0.0257,4,0.1028,66.4
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,104012,18X7-8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,4,0.1212,83.6
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,102162,5.00-8  (WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,17.6,0.0232,4,0.0928,70.4
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,112162,21X8-9 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6,3 LAYER,34.8,0.0478,4,0.1912,139.2
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,4,0.2764,184.4
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,120162,23X9-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.6,0.068,4,0.272,186.4
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,4,0.1552,95.6
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,135012,28X9-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,4,0.4096,241.2
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,102041,5.00-8 ,RUNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,4,0.1036,68.4
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,120042,23X9-10,RUNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,4,0.2628,178.8
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,141052,7.00-15,ROCKSOLID,BLACK,CLIP,5.5,3 LAYER,56.3,0.0946,4,0.3784,225.2
5/14/2024,ROM-SES ,103,ROM-SES -ORDER 02 (R),916,702071,12X4 1/2X8,RUNNER BAND,BLACK,SMOOTH,-,2 LAYER,9.2,0.0109,4,0.0436,36.8
