Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,104001,18X7-8,ACHIEVER,BLACK,STD,4.33,2 LAYER,20.8,0.0303,2,0.0606,41.6
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,102001,5.00-8,ACHIEVER,BLACK,STD,3,2 LAYER,15.7,0.0232,2,0.0464,31.4
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,111001,6.00-9 ,ACHIEVER,BLACK,STD,4,2 LAYER,26.6,0.0377,2,0.0754,53.2
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,119241,6.50 - 10 (Wide wall),ACHIEVER,BLACK,STD,5,2 LAYER,35.8,0.0508,2,0.1016,71.6
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,125001,7.00-12,ACHIEVER,BLACK,STD,5,2 LAYER,46.8,0.0691,4,0.2764,187.2
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,104002,18X7-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,4,0.1212,83.6
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,102002,5.00-8,ACHIEVER,BLACK,CLIP,3,2 LAYER,15.9,0.0232,2,0.0464,31.8
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,112002,21X8-9,ACHIEVER,BLACK,CLIP,6,2 LAYER,34.2,0.0478,2,0.0956,68.4
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,111002,6.00-9 ,ACHIEVER,BLACK,CLIP,4,2 LAYER,27,0.0377,2,0.0754,54
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,118002,200/50-10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,23.9,0.0388,8,0.3104,191.2
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,119242,6.50 - 10 (Wide wall),ACHIEVER,BLACK,CLIP,5,2 LAYER,36.3,0.0508,4,0.2032,145.2
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,120002,23X9-10 ,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,46,0.0627,2,0.1254,92
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,104011,18X7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,20.8,0.0303,2,0.0606,41.6
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,102161,5.00-8 (Wide wall),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,4,0.1052,69.6
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,111161,6.00-9 (Wide wall),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0383,4,0.1532,105.6
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,119161,6.50 - 10 (Wide wall),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,4,0.2032,140.8
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,4,0.2764,182.8
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,104012,18X7-8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,4,0.1212,83.6
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,102162,5.00-8 (Wide wall),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,17.6,0.0263,4,0.1052,70.4
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,112162,21X8-9 (Wide wall),ACHIEVER PLUS,BLACK,CLIP,6,3 LAYER,34.8,0.049,2,0.098,69.6
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,119162,6.50 - 10 (Wide wall),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,4,0.2032,141.6
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,2,0.1382,92.2
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,127012,27X10-12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,73.4,0.1066,2,0.2132,146.8
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,135012,28X9-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,4,0.4096,241.2
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,134012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7.5,3 LAYER,67.5,0.1103,2,0.2206,135
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,104041,18X7-8,RUNERSOLID,BLACK,STD,4.33,3 LAYER,20.5,0.0316,2,0.0632,41
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,102041,5.00-8 ,RUNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,2,0.0518,34.2
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,111041,6.00-9,RUNERSOLID,BLACK,STD,4,3 LAYER,26.8,0.039,2,0.078,53.6
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,119041,6.50 - 10 ,RUNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,2,0.1046,69.8
28.11.2023,ROM-SES ,266,ROM-SES -ORDER 01,784,125041,7.00-12,RUNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,2,0.145,93.8
