Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
6/19/2024,RUS-TLL,122,RUSSIA OREDR - 18,938,103001,16x6-8 ,ACHIEVER ,BLACK,STD,4.33,2 LAYER,15.8,0.0257,20,0.514,316
6/19/2024,RUS-TLL,122,RUSSIA OREDR - 18,938,152221,10.00-20 (CW),ACHIEVER ,BLACK,STD,7,2 LAYER,205.4,0.246,24,5.904,"4,929.60"
6/19/2024,RUS-TLL,122,RUSSIA OREDR - 18,938,104004,18 x 7 - 8 ,ACHIEVER ,NM Off-White,CLIP,4.33,2 LAYER,21,0.0303,20,0.61,420
6/19/2024,RUS-TLL,122,RUSSIA OREDR - 18,938,102041,5.00-8 ,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,40,1.036,684
6/19/2024,RUS-TLL,122,RUSSIA OREDR - 18,938,103041,16x6-8 ,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,16.2,0.0263,40,1.05,648
6/19/2024,RUS-TLL,122,RUSSIA OREDR - 18,938,119041,6.50-10 ,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,70,3.661,"2,436.00"
6/19/2024,RUS-TLL,122,RUSSIA OREDR - 18,938,178042,355/50-15,RUNNERSOLID,BLACK,CLIP,9.75,3 LAYER,89.1,0.021,4,0.08,356.4
6/19/2024,RUS-TLL,122,RUSSIA OREDR - 18,938,120044,23x9-10 ,RUNNERSOLID,NM Lt-Cream,CLIP,6.5,3 LAYER,44.8,0.0657,20,1.314,896
6/19/2024,RUS-TLL,122,RUSSIA OREDR - 18,938,118044,200/50-10,RUNNERSOLID,NM Lt-Cream,CLIP,6.5,3 LAYER,23.1,0.0394,40,1.576,924
6/19/2024,RUS-TLL,122,RUSSIA OREDR - 18,938,135051,28x9-15,ROCKSOLID,BLACK,STD,7,3 LAYER,59.3,0.1064,30,3.192,"1,779.00"
6/19/2024,RUS-TLL,122,RUSSIA OREDR - 18,938,135052,28x9-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,60.2,0.1064,10,1.064,602
6/19/2024,RUS-TLL,122,RUSSIA OREDR - 18,938,138054,8.25-15,ROCKSOLID,NM Lt-Cream,CLIP,6.5,3 LAYER,89.1,0.1385,60,8.31,"5,346.00"
6/19/2024,RUS-TLL,122,RUSSIA OREDR - 18,938,133054,2.50-15,ROCKSOLID,NM Lt-Cream,CLIP,7,3 LAYER,68,0.1149,40,4.596,"2,720.00"
6/19/2024,RUS-TLL,122,RUSSIA OREDR - 18,938,139054,3.00-15,ROCKSOLID,NM Lt-Cream,CLIP,8,3 LAYER,109.3,0.1711,40,6.844,"4,372.00"
6/19/2024,RUS-TLL,122,RUSSIA OREDR - 18,938,730071,16 1/4x7x11-1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.3,0.0312,10,0.312,223
6/19/2024,RUS-TLL,122,RUSSIA OREDR - 18,938,180221,10.00-20 ,ACHIEVER (CW) SPACER,BLACK,-,7,-,28.5,0.04,12,0.374,342
6/19/2024,RUS-TLL,122,RUSSIA OREDR - 18,938,138051,8.25-15,ROCKSOLID,BLACK,STD,6.5,3 LAYER,87.9,0.1385,1,0.139,87.9
6/19/2024,RUS-TLL,122,RUSSIA OREDR - 18,938,138052,8.25-15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,88.9,0.1385,1,0.139,88.9
