Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
22.01.2024,ARY - KSA,9,SAUDI ARABIA-ARY(GTT)-Order 16 ,5000,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.8,0.039,80,3.12,"2,144.00"
22.01.2024,ARY - KSA,9,SAUDI ARABIA-ARY(GTT)-Order 16 ,5000,112041,21x8-9,RUNNERSOLID,BLACK,STD,6,3 LAYER,33.2,0.0494,12,0.59,398.4
22.01.2024,ARY - KSA,9,SAUDI ARABIA-ARY(GTT)-Order 16 ,5000,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,100,5.23,"3,490.00"
22.01.2024,ARY - KSA,9,SAUDI ARABIA-ARY(GTT)-Order 16 ,5000,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,60,4.35,"2,814.00"
22.01.2024,ARY - KSA,9,SAUDI ARABIA-ARY(GTT)-Order 16 ,5000,101042,15x4 1/2-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.3,0.0171,16,0.27,164.8
22.01.2024,ARY - KSA,9,SAUDI ARABIA-ARY(GTT)-Order 16 ,5000,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,70,1.3,721.00
22.01.2024,ARY - KSA,9,SAUDI ARABIA-ARY(GTT)-Order 16 ,5000,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,100,3.16,"2,080.00"
22.01.2024,ARY - KSA,9,SAUDI ARABIA-ARY(GTT)-Order 16 ,5000,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0394,50,1.97,"1,155.00"
22.01.2024,ARY - KSA,9,SAUDI ARABIA-ARY(GTT)-Order 16 ,5000,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,30,1.57,"1,059.00"
22.01.2024,ARY - KSA,9,SAUDI ARABIA-ARY(GTT)-Order 16 ,5000,125042,7.00-12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.8,0.0725,30,2.18,"1,434.00"
22.01.2024,ARY - KSA,9,SAUDI ARABIA-ARY(GTT)-Order 16 ,5000,112042,21x8-9,RUNNERSOLID,BLACK,STD,6,3 LAYER,33.5,0.0494,15,0.74,502.50
22.01.2024,ARY - KSA,9,SAUDI ARABIA-ARY(GTT)-Order 16 ,5000,119043,6.50-10,RUNNERSOLID,NM,STD,5,3 LAYER,35.3,0.0523,20,1.05,706
22.01.2024,ARY - KSA,9,SAUDI ARABIA-ARY(GTT)-Order 16 ,5000,135051,28x9-15,ROCK SOLID,BLACK,STD,7,3 LAYER,59.7,0.1064,30,3.19,"1,791.00"
22.01.2024,ARY - KSA,9,SAUDI ARABIA-ARY(GTT)-Order 16 ,5000,138051,8.25-15,ROCKSOLID,BLACK,STD,6.5,3 LAYER,88.7,0.1385,10,1.39,887
22.01.2024,ARY - KSA,9,SAUDI ARABIA-ARY(GTT)-Order 16 ,5000,135053,28x9-15,ROCKSOLID,NM,STD,7,3 LAYER,60.2,0.1064,30,3.19,"1,806.00"
22.01.2024,ARY - KSA,9,SAUDI ARABIA-ARY(GTT)-Order 16 ,5000,135052,28x9-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,60.6,0.1064,30,3.19,"1,818.00"
22.01.2024,ARY - KSA,9,SAUDI ARABIA-ARY(GTT)-Order 16 ,5000,138052,8.25-15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,88.9,0.1385,12,1.66,"1,066.80"
22.01.2024,ARY - KSA,9,SAUDI ARABIA-ARY(GTT)-Order 16 ,5000,139052,3.00-15,ROCKSOLID,BLACK,CLIP,8,3 LAYER,109.1,0.1711,12,2.05,"1,309.20"
22.01.2024,ARY - KSA,9,SAUDI ARABIA-ARY(GTT)-Order 16 ,5000,736146,406x125,RUNNERLIFT,NMG,TRACTION,-,3 LAYER,18.1,0.0206,20,0.41,362
