Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,20,0.52,342
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.8,0.039,48,1.87,"1,286.40"
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,20,1.05,698
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,104041,18x7-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.5,0.0316,10,0.32,205
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,28,2.03,"1,313.20"
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,101042,15 x 4 1/2 - 8 ,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.1,0.0171,30,0.51,303
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,103042,16 x 6 - 8 ,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.6,0.0263,10,0.26,166.00
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,50,1.58,"1,040.00"
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,20,1.05,706
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,22.9,0.0394,20,0.79,458
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,112042,21x8-9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.5,0.0494,6,0.3,201
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,120042,23x9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,20,1.31,894
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,125042,7.00-12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.8,0.0725,16,1.16,764.8
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,135042,28x9-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,58.7,0.1041,8,0.83,469.6
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,133042,250-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,65.9,0.1127,8,0.9,527.20
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,139042,3.00-15,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,106.9,0.1711,8,1.37,855.2
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,127042,27x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.6,0.1051,8,0.84,556.8
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,104043,18x7-8,RUNNERSOLID,NM,STD,4.33,3 LAYER,20.5,0.0316,10,0.32,205
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,101044,15 x 4 1/2 - 8 ,RUNNERSOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,50,0.86,515.00
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,3 LAYER,10.4,0.0186,50,0.93,519.75
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,103044,16 x 6 - 8 ,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,16.6,0.0263,10,0.26,166
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,104044,18x7-8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,20.7,0.0316,50,1.58,"1,035.00"
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,118044,200/50-10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,23.2,0.0394,24,0.95,556.8
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,135044,28x9-15,RUNNERSOLID,NM,CLIP,7,3 LAYER,58.8,0.1041,2,0.21,117.60
1/2/2024,SPAIN,17,SPA-GTI-Order 17,827,133044,250-15,RUNNERSOLID,NM,CLIP,7,3 LAYER,68.3,0.1127,4,0.45,273.2
