Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
6/3/2024,stock order,,stock order,5,156011,12.00 - 20 (8.50)  ACHIEVER PLUS BLACK STD,ACHE +,BLACK,STD,8.5,,206.7,,10,,"2,067.00"
6/3/2024,stock order,,stock order,5,110012,140/55 x 9 (4.00)  ACHIEVER PLUS BLACK CLIP,ACHE +,BLACK,CLIP,4,,10.1,,50,,505.00
6/3/2024,stock order,,stock order,5,711071,16 x 6 x 10 1/2 ATIRE RUNNER BAND BLACK SM,POB,BLACK,SM,0,,19.8,,20,,396.00
6/3/2024,stock order,,stock order,5,104012,18 x 7 - 8 (4.33)  ACHIEVER PLUS BLACK CLIP,ACHE +,BLACK,CLIP,4.33,,21.1,,200,,4220
6/3/2024,stock order,,stock order,5,104011,18 x 7 - 8 (4.33)  ACHIEVER PLUS BLACK STD,ACHE +,BLACK,STD,4.33,,21,,150,,3150
6/3/2024,stock order,,stock order,5,715071,18 x 7 x 12 1/8 ATIRE RUNNER BAND BLACK SM,POB,BLACK,SM,0,,26.6,,20,,532
6/3/2024,stock order,,stock order,5,719071,21 x 7 x 15 ATIRE RUNNER BAND BLACK SM,POB,BLACK,SM,0,,35.8,,30,,1074
6/3/2024,stock order,,stock order,5,719072,21 x 7 x 15 ATIRE RUNNER BAND BLACK TR,POB,BLACK,TR,0,,35.1,,30,,"1,053.00"
6/3/2024,stock order,,stock order,5,111161,6.00 - 9 (4.00)  ACHIEVER PLUS (WIDE)  BLACK STD,ACHE +,BLACK,STD,4,,26.7,,200,,5340
6/3/2024,stock order,,stock order,5,119161,6.50 - 10 (5.00)  ACHIEVER PLUS (WIDE ) BLACK STD,ACHE +,BLACK,STD,5,,35.6,,50,,1780
6/3/2024,stock order,,stock order,5,125011,7.00 - 12 (5.00)  ACHIEVER PLUS BLACK STD,ACHE +,BLACK,STD,5,,46.1,,100,,4610
