Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
10/2/2024,stock order,,Stock Order,1,152001,10.00 - 20 (7.00)  ACHIEVER BLACK STD,,,,,,,159.6,16,,2553.6
10/2/2024,stock order,,Stock Order,1,154161,10.00 - 20 (8.00) ACHIEVER PLUS (WIDE)  BLACK STD,,,,,,,169.5,16,,2712
10/2/2024,stock order,,Stock Order,1,156001,12.00 - 20 (8.50)  ACHIEVER BLACK STD,,,,,,,209.5,14,,2933
10/2/2024,stock order,,Stock Order,1,156011,12.00 - 20 (8.50)  ACHIEVER PLUS BLACK STD,,,,,,,206.7,20,,4134
10/2/2024,stock order,,Stock Order,1,110012,140/55 x 9 (4.00)  ACHIEVER PLUS BLACK CLIP,,,,,,,10.11,10,,101.1
10/2/2024,stock order,,Stock Order,1,101161,15 x 4.5 - 8 (3.00)  ACHIEVER PLUS (WIDE ) STD,,,,,,,9.9,38,,376.2
10/2/2024,stock order,,Stock Order,1,101162,15 x 4.5 - 8 (3.00)  ACHIEVER PLUS (WIDE ) BLACK CLIP,,,,,,,10.2,60,,612
10/2/2024,stock order,,Stock Order,1,103161,16 x 6 - 8 (4.33)  ACHIEVER PLUS ( WIDE ) BLACK STD,,,,,,,16.5,50,,825
10/2/2024,stock order,,Stock Order,1,103162,16 x 6 - 8 (4.33)  ACHIEVER PLUS ( WIDE ) CLIP,,,,,,,16.8,40,,672
10/2/2024,stock order,,Stock Order,1,103042,16 x 6 - 8 (4.33) ATIRE RUNNER SOLID  BLACK CLIP,,,,,,,16.7,42,,701.4
10/2/2024,stock order,,Stock Order,1,711071,16 x 6 x 10 1/2 ATIRE RUNNER BAND BLACK SM,,,,,,,12.1,20,,242
10/2/2024,stock order,,Stock Order,1,104011,18 x 7 - 8 (4.33)  ACHIEVER PLUS BLACK STD,,,,,,,21,80,,1680
10/2/2024,stock order,,Stock Order,1,104042,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID  BLACK CLIP,,,,,,,21,50,,1050
10/2/2024,stock order,,Stock Order,1,715071,18 x 7 x 12 1/8 ATIRE RUNNER BAND BLACK SM,,,,,,,16.4,20,,328
10/2/2024,stock order,,Stock Order,1,118012,200/50 - 10 (6.50)  ACHIEVER PLUS BLACK CLIP,,,,,,,24.1,95,,2289.5
10/2/2024,stock order,,Stock Order,1,719071,21 x 7 x 15 ATIRE RUNNER BAND BLACK SM,,,,,,,20,30,,600
10/2/2024,stock order,,Stock Order,1,719072,21 x 7 x 15 ATIRE RUNNER BAND BLACK TR,,,,,,,18.9,10,,189
10/2/2024,stock order,,Stock Order,1,102161,5.00 - 8 (3.00)  ACHIEVER PLUS (WIDE) BLACK STD,,,,,,,17.6,18,,316.8
10/2/2024,stock order,,Stock Order,1,102041,5.00 - 8 (3.00) ATIRE RUNNER SOLID  BLACK STD,,,,,,,17.2,50,,860
10/2/2024,stock order,,Stock Order,1,111161,6.00 - 9 (4.00)  ACHIEVER PLUS (WIDE)  BLACK STD,,,,,,,26.7,60,,1602
10/2/2024,stock order,,Stock Order,1,119241,6.50 - 10 (5.00)  ACHIEVER ( WIDE ) BLACK STD,,,,,,,35.38,10,,353.8
10/2/2024,stock order,,Stock Order,1,119041,6.50 - 10 (5.00) ATIRE RUNNER SOLID  BLACK STD,,,,,,,35.2,70,,2464
10/2/2024,stock order,,Stock Order,1,125011,7.00 - 12 (5.00)  ACHIEVER PLUS BLACK STD,,,,,,,46.1,86,,3964.6
10/2/2024,stock order,,Stock Order,1,125041,7.00 - 12 (5.00) ATIRE RUNNER SOLID  BLACK STD,,,,,,,47.3,30,,1419
10/2/2024,stock order,,Stock Order,1,135011,8.15 - 15 (28 x 9 - 15) (7.00)  ACHIEVER PLUS BLACK STD,,,,,,,60,18,,1080
10/2/2024,stock order,,Stock Order,1,135051,8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID  BLACK STD,,,,,,,60.6,10,,606
10/2/2024,stock order,,Stock Order,1,151011,9.00 - 20 (7.00)  ACHIEVER PLUS BLACK STD,,,,,,,128.5,10,,1285
10/2/2024,stock order,,Stock Order,1,166321,31 x 10 - 20 (7.50)  SKID SOLID R4 (WAP) BLACK STD,,,,,,,63.1,70,,4417
10/2/2024,stock order,,Stock Order,1,166327,31 x 10 - 20 (7.50) (WA) SKID SOLID BLACK CLIP LEFT,,,,,,,63.4,30,,1902
10/2/2024,stock order,,Stock Order,1,166328,31 x 10 - 20 (7.50) (WA) SKID SOLID BLACK CLIP RIGHT,,,,,,,63.4,30,,1902
10/2/2024,stock order,,Stock Order,1,152061,10.00 - 20 (7.00) ATIRE TRAILER SOLID BLACK STD,,,,,,,159.3,10,,1593
10/2/2024,stock order,,Stock Order,1,160332,315 / 95 - 28 (8.50)  ATIRE TELESOLID BLACK CLIP (CW),,,,,,,264.1,12,,3169.2
10/2/2024,stock order,,Stock Order,1,100421,4.00 - 8 (3.00) ATIRE TRAILER SOLID(RIB)  BLACK STD,,,,,,,11.05,200,,2210
