Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
7/4/2024,stock,,stock order,1000,156001,,,,STD,,,209.5,,10,,
7/4/2024,stock,,stock order,1000,156011,,,,STD,,,206.7,,10,,
7/4/2024,stock,,stock order,1000,110012,,,,CLIP,,,10.11,,50,,
7/4/2024,stock,,stock order,1000,110042,,,,CLIP,,,10.51,,50,,
7/4/2024,stock,,stock order,1000,711071,,,,SM,,,19.6,,20,,
7/4/2024,stock,,stock order,1000,104002,,,,CLIP,,,21.25,,50,,
7/4/2024,stock,,stock order,1000,104012,,,,CLIP,,,21.1,,200,,
7/4/2024,stock,,stock order,1000,104011,,,,STD,,,21,,150,,
7/4/2024,stock,,stock order,1000,104042,,,,CLIP,,,21,,50,,
7/4/2024,stock,,stock order,1000,715071,,,,SM,,,26.3,,20,,
7/4/2024,stock,,stock order,1000,719071,,,,SM,,,35.4,,30,,
7/4/2024,stock,,stock order,1000,719072,,,,TR,,,34.7,,30,,
7/4/2024,stock,,stock order,1000,102161,,,,STD,,,17.6,,50,,
7/4/2024,stock,,stock order,1000,111161,,,,STD,,,26.7,,200,,
7/4/2024,stock,,stock order,1000,111041,,,,STD,,,27,,50,,
7/4/2024,stock,,stock order,1000,119162,,,,CLIP,,,35.8,,25,,
7/4/2024,stock,,stock order,1000,119161,,,,STD,,,35.6,,100,,
7/4/2024,stock,,stock order,1000,125011,,,,STD,,,46.1,,100,,
7/4/2024,stock,,stock order,1000,125041,,,,STD,,,47.3,,50,,
7/4/2024,stock,,stock order,1000,142011,,,,STD,,,59.3,,15,,
7/4/2024,stock,,stock order,1000,135011,,,,STD,,,60,,15,,
7/4/2024,stock,,stock order,1000,166321,,,,STD,,,63.1,,100,,
7/4/2024,stock,,stock order,1000,166327,,,,,,,63.4,,50,,
7/4/2024,stock,,stock order,1000,166328,,,,,,,63.4,,50,,
7/4/2024,stock,,stock order,1000,139161,,,,,,,109.8,,15,,
7/4/2024,stock,,stock order,1000,160332,,,,,,,264.1,,16,,
7/4/2024,stock,,stock order,1000,169332,,,,,,,343.4,,24,,
