Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
12/2/2024,no,1,tempory order,1,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,10,0.259,171
45628,no,1,tempory order,1,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,51,1.989,"1,356.60"
45628,no,1,tempory order,1,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,30,1.569,"1,044.00"
45628,no,1,tempory order,1,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,52,3.77,"2,438.80"
45628,no,1,tempory order,1,138041,8.25-15,RUNNERSOLID,BLACK,STD,6.5,3 LAYER,84.6,0.1385,4,0.554,338.4
45628,no,1,tempory order,1,133041,2.50-15,RUNNERSOLID,BLACK,STD,7,3 LAYER,64.5,0.1149,4,0.46,258
45628,no,1,tempory order,1,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0523,6,0.314,211.2
45628,no,1,tempory order,1,125042,7.00-12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.5,0.0725,10,0.725,475
45628,no,1,tempory order,1,135042,8.15-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,58.4,0.1041,4,0.416,233.6
45628,no,1,tempory order,1,141051,7.00-15,ROCKSOLID,BLACK,STD,5.5,3 LAYER,55.6,0.0946,4,0.378,222.4
45628,no,1,tempory order,1,142051,7.00-15,ROCKSOLID,BLACK,STD,6,3 LAYER,56.2,0.0946,8,0.757,449.6
45628,no,1,tempory order,1,701071,10X5-6 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,7.7,0.0084,21,0.176,161.7
45628,no,1,tempory order,1,704071,14X4 1/2-8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,12,0.0149,10,0.149,120
45628,no,1,tempory order,1,705071,14X5X10,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,12.4,0.0165,10,0.165,124
45628,no,1,tempory order,1,706071,15X5X11 1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,13.3,0.019,20,0.38,266
45628,no,1,tempory order,1,708071,16 1/4X5X11 1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,15.9,0.0223,10,0.223,159
45628,no,1,tempory order,1,709071,16 1/4X6X11 1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.2,0.0267,20,0.534,384
45628,no,1,tempory order,1,710071,16X5X10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,16.3,0.0216,70,1.512,"1,141.00"
45628,no,1,tempory order,1,711071,16X6X10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.6,0.0259,71,1.839,"1,391.60"
45628,no,1,tempory order,1,712071,16X7X10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0302,11,0.332,250.8
45628,no,1,tempory order,1,716071,18X8X12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,30.9,0.0437,52,2.272,"1,606.80"
45628,no,1,tempory order,1,719071,21X7X15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,35.4,0.052,54,2.808,"1,911.60"
