Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,102241,5.00-8 (WIDE),ACHIEVER ,BLACK,STD,3,2LAYER,17.6,0.0263,40,1.052,704
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,111241,6.00-9 (WIDE),ACHIEVER ,BLACK,STD,4,2LAYER,27.1,0.0383,0,0,0
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,119241,6.50 - 10 (WIDE),ACHIEVER ,BLACK,STD,5,2LAYER,35.8,0.0508,40,2.032,1432
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,125001,7.00-12,ACHIEVER ,BLACK,STD,5,2LAYER,46.8,0.0691,40,2.764,1872
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,101002,15x4 1/2-8 ,ACHIEVER ,BLACK,CLIP,3,2LAYER,9.2,0.0147,70,1.029,644
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,103002,16x6-8,ACHIEVER ,BLACK,CLIP,4.33,2LAYER,16,0.0244,40,0.976,640
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,119242,6.50 - 10 (WIDE),ACHIEVER ,BLACK,CLIP,5,2LAYER,36.3,0.0508,40,2.032,1452
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,120242,23x9-10 (WIDE),ACHIEVER ,BLACK,CLIP,6.5,2LAYER,47.3,0.068,10,0.68,473
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,125002,7.00-12,ACHIEVER ,BLACK,CLIP,5,2LAYER,47.3,0.0691,50,3.455,2365
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,127002,27X10-12 ,ACHIEVER ,BLACK,CLIP,8,2LAYER,74.7,0.1066,16,1.7056,1195.2
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,133002,2.50-15,ACHIEVER ,BLACK,CLIP,7,2LAYER,66.3,0.1049,10,1.049,663
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,135002,28x9-15,ACHIEVER ,BLACK,CLIP,7,2LAYER,60.3,0.1024,20,2.048,1206
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,137242,8.25-15 (WIDE),ACHIEVER ,BLACK,CLIP,5.5,2LAYER,93.5,0.1358,10,1.358,935
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,139242,3.00-15  (WIDE),ACHIEVER ,BLACK,CLIP,8,2LAYER,110.7,0.1563,18,2.8134,1992.6
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,104011,18 x 7 - 8 ,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,20.8,0.0303,40,1.212,832
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,153161,10.00-20 (WIDE),ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER,167.3,0.2622,10,2.622,1673
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,155011,12.00-20,ACHIEVER PLUS,BLACK,STD,8,3 LAYER,203.9,0.3074,10,3.074,2039
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,156011,12.00-20,ACHIEVER PLUS,BLACK,STD,8.5,3 LAYER,204.7,0.3074,10,3.074,2047
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,139162,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,20,3.402,2184
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,712072,16x7x10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,21.6,0.0302,4,0.1208,86.4
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,730072,16 1/4x7x11-1/4,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,20.9,0.0312,60,1.872,1254
5/14/2024,UNITED KINDOM,99,UK/RTL- ORDER -47,912,715073,18x7x12 1/8,RUNNERBAND,NM,SMOOTH,-,2 LAYER,26.6,0.0382,10,0.382,266
