Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
5/10/2024,UNITED KINGDOM,102,UK/RTL- ORDER -49,914,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,50,1.32,870
5/10/2024,UNITED KINGDOM,102,UK/RTL- ORDER -49,914,112161,21x8-9 (WIDE),ACHIEVER PLUS,BLACK,STD,6,3 LAYER,34.4,0.049,80,3.92,2752
5/10/2024,UNITED KINGDOM,102,UK/RTL- ORDER -49,914,119161,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,60,3.05,2112
5/10/2024,UNITED KINGDOM,102,UK/RTL- ORDER -49,914,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,20,1.38,914
5/10/2024,UNITED KINGDOM,102,UK/RTL- ORDER -49,914,101162,15x4 1/2-8  (WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.9,0.0161,100,1.61,990
5/10/2024,UNITED KINGDOM,102,UK/RTL- ORDER -49,914,103162,16x6-8  (WIDE),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,20,0.51,332
5/10/2024,UNITED KINGDOM,102,UK/RTL- ORDER -49,914,104012,18 x 7 - 8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,80,2.42,1672
5/10/2024,UNITED KINGDOM,102,UK/RTL- ORDER -49,914,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,60,1.07,600
5/10/2024,UNITED KINGDOM,102,UK/RTL- ORDER -49,914,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,60,2.33,1434
5/10/2024,UNITED KINGDOM,102,UK/RTL- ORDER -49,914,119162,6.50 - 10  (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,60,3.05,2124
5/10/2024,UNITED KINGDOM,102,UK/RTL- ORDER -49,914,120162,23x9-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.6,0.068,20,1.36,932
5/10/2024,UNITED KINGDOM,102,UK/RTL- ORDER -49,914,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,20,1.38,922
5/10/2024,UNITED KINGDOM,102,UK/RTL- ORDER -49,914,127012,27X10-12 ,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,73.4,0.1066,20,2.13,1468
5/10/2024,UNITED KINGDOM,102,UK/RTL- ORDER -49,914,133012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,65.2,0.1049,17,1.78,1108.4
5/10/2024,UNITED KINGDOM,102,UK/RTL- ORDER -49,914,137162,8.25-15  (WIDE),ACHIEVER PLUS,BLACK,CLIP,5.5,3 LAYER,90.2,0.1358,10,1.36,902
5/10/2024,UNITED KINGDOM,102,UK/RTL- ORDER -49,914,139012,3.00-15 ,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,102.8,0.1563,10,1.56,1028
5/10/2024,UNITED KINGDOM,102,UK/RTL- ORDER -49,914,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,20,1.05,696
5/10/2024,UNITED KINGDOM,102,UK/RTL- ORDER -49,914,125042,7.00 -12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.5,0.0725,10,0.73,475
