serial_number,date,tyre_code,description,qty
032025-05042,3/19/2025,102241,5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD,0
032025-05043,3/19/2025,119042,6.50 - 10 (5.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05044,3/19/2025,119043,6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD,0
032025-05045,3/19/2025,119043,6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD,0
032025-05046,3/19/2025,125042,7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05047,3/19/2025,125042,7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05048,3/19/2025,125041,7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05049,3/19/2025,111041,6.00 - 9 (4.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05050,3/19/2025,111041,6.00 - 9 (4.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05051,3/19/2025,178044,355/50 - 15 (9.75) ATIRE RUNNER SOLID NM CLIP,0
032025-05052,3/19/2025,715072,18 x 7 x 12 1/8 ATIRE RUNNER BAND BLACK TR,0
032025-05053,3/19/2025,716072,18 x 8 x 12 1/8 ATIRE RUNNER BAND BLACK TR,0
032025-05054,3/19/2025,720072,21 x 8 x 15 ATIRE RUNNER BAND BLACK TR,0
032025-05055,3/19/2025,704074,14 x 4 1/2 x 8 ATIRE RUNNER BAND NM TR,0
032025-05056,3/19/2025,710074,16 x 5 x 10 1/2 ATIRE RUNNER BAND NM TR,0
032025-05057,3/19/2025,711074,16 x 6 x 10 1/2 ATIRE RUNNER BAND NM TR,0
032025-05058,3/19/2025,155051,12.00 - 20 (8.00) ATIRE ROCK SOLID BLACK STD,0
032025-05059,3/19/2025,103043,16 x 6 - 8 (4.33) ATIRE RUNNER SOLID NM STD,0
032025-05060,3/19/2025,103043,16 x 6 - 8 (4.33) ATIRE RUNNER SOLID NM STD,0
032025-05061,3/19/2025,104043,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM STD,0
032025-05062,3/19/2025,104044,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP,0
032025-05063,3/19/2025,104044,18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP,0
032025-05064,3/19/2025,140051,355/65 - 15 (9.75) ATIRE ROCK SOLID BLACK STD,0
032025-05065,3/19/2025,170051,14.00 - 24 (10.00) ATIRE ROCK SOLID BLACK STD,0
032025-05066,3/19/2025,139162,300-15 (8.00) ACHIEVER PLUS (WIDE) BLACK CLIP,0
032025-05067,3/19/2025,705071,14 x 5 x 10 ATIRE RUNNER BAND BLACK SM,0
032025-05068,3/19/2025,133042,250 -15 (7.00) ATIRE RUNNER SOLID BLACK CLIP,0
032025-05069,3/19/2025,135053,8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID NM STD,0
032025-05070,3/19/2025,135053,8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID NM STD,0
032025-05071,3/19/2025,101044,15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID NM CLIP,0
032025-05072,3/19/2025,101041,15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK STD,0
032025-05073,3/19/2025,101041,15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK STD,0
