"id","prev_serial","serial_number","date","tyre_code","description","qty"
"992","32505042","032025-05042","2025-03-19","102241","5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD","0"
"993","32505043","032025-05043","2025-03-19","119042","6.50 - 10 (5.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"994","32505044","032025-05044","2025-03-19","119043","6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD","0"
"995","32505045","032025-05045","2025-03-19","119043","6.50 - 10 (5.00) ATIRE RUNNER SOLID NM STD","0"
"996","32505046","032025-05046","2025-03-19","125042","7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"997","32505047","032025-05047","2025-03-19","125042","7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"998","32505048","032025-05048","2025-03-19","125041","7.00 - 12 (5.00) ATIRE RUNNER SOLID BLACK STD","0"
"999","32505049","032025-05049","2025-03-19","111041","6.00 - 9 (4.00) ATIRE RUNNER SOLID BLACK STD","0"
"1000","32505050","032025-05050","2025-03-19","111041","6.00 - 9 (4.00) ATIRE RUNNER SOLID BLACK STD","0"
"1001","32505051","032025-05051","2025-03-19","178044","355/50 - 15 (9.75) ATIRE RUNNER SOLID NM CLIP","0"
"1002","32505052","032025-05052","2025-03-19","715072","18 x 7 x 12 1/8 ATIRE RUNNER BAND BLACK TR","0"
"1003","32505053","032025-05053","2025-03-19","716072","18 x 8 x 12 1/8 ATIRE RUNNER BAND BLACK TR","0"
"1004","32505054","032025-05054","2025-03-19","720072","21 x 8 x 15 ATIRE RUNNER BAND BLACK TR","0"
"1005","32505055","032025-05055","2025-03-19","704074","14 x 4 1/2 x 8 ATIRE RUNNER BAND NM TR","0"
"1006","32505056","032025-05056","2025-03-19","710074","16 x 5 x 10 1/2 ATIRE RUNNER BAND NM TR","0"
"1007","32505057","032025-05057","2025-03-19","711074","16 x 6 x 10 1/2 ATIRE RUNNER BAND NM TR","0"
"1008","32505058","032025-05058","2025-03-19","155051","12.00 - 20 (8.00) ATIRE ROCK SOLID BLACK STD","0"
"1009","32505059","032025-05059","2025-03-19","103043","16 x 6 - 8 (4.33) ATIRE RUNNER SOLID NM STD","0"
"1010","32505060","032025-05060","2025-03-19","103043","16 x 6 - 8 (4.33) ATIRE RUNNER SOLID NM STD","0"
"1011","32505061","032025-05061","2025-03-19","104043","18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM STD","0"
"1012","32505062","032025-05062","2025-03-19","104044","18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP","0"
"1013","32505063","032025-05063","2025-03-19","104044","18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP","0"
"1014","32505064","032025-05064","2025-03-19","140051","355/65 - 15 (9.75) ATIRE ROCK SOLID BLACK STD","0"
"1015","32505065","032025-05065","2025-03-19","170051","14.00 - 24 (10.00) ATIRE ROCK SOLID BLACK STD","0"
"1016","32505066","032025-05066","2025-03-19","139162","300-15 (8.00) ACHIEVER PLUS (WIDE) BLACK CLIP","0"
"1017","32505067","032025-05067","2025-03-19","705071","14 x 5 x 10 ATIRE RUNNER BAND BLACK SM","0"
"1018","32505068","032025-05068","2025-03-19","133042","250 -15 (7.00) ATIRE RUNNER SOLID BLACK CLIP","0"
"1019","32505069","032025-05069","2025-03-19","135053","8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID NM STD","0"
"1020","32505070","032025-05070","2025-03-19","135053","8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID NM STD","0"
"1021","32505071","032025-05071","2025-03-19","101044","15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID NM CLIP","0"
"1022","32505072","032025-05072","2025-03-19","101041","15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK STD","0"
"1023","32505073","032025-05073","2025-03-19","101041","15 x 4.5 - 8 (3.00) ATIRE RUNNER SOLID BLACK STD","0"
"1024","32505074","032025-05074","2025-03-19","110012","140/55 x 9 (4.00) ACHIEVER PLUS BLACK CLIP","0"
"1025","32505075","032025-05075","2025-03-19","102241","5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD","0"
"1026","32505076","032025-05076","2025-03-19","102241","5.00 - 8 (3.00) ACHIEVER (WIDE) BLACK STD","0"
"1027","32505077","032025-05077","2025-03-19","712073","16 x 7 x 10 1/2 ATIRE RUNNER BAND NM SM","0"
"1028","32505078","032025-05078","2025-03-19","720071","21 x 8 x 15 ATIRE RUNNER BAND BLACK SM","0"
"1029","32505079","032025-05079","2025-03-19","141002","7.00 - 15 (5.50) ACHIEVER BLACK CLIP","0"
