Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
14.02.2024,USA - TMHL,31,TMHL ORDER 01,843,111161,6.00 - 9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0383,10,0.38,264
14.02.2024,USA - TMHL,31,TMHL ORDER 01,843,119161,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,10,0.51,352
14.02.2024,USA - TMHL,31,TMHL ORDER 01,843,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,30,2.07,"1,371.00"
14.02.2024,USA - TMHL,31,TMHL ORDER 01,843,135011,8.15-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,59.3,0.1024,10,1.02,593
14.02.2024,USA - TMHL,31,TMHL ORDER 01,843,104041,18x7x8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.5,0.0316,4,0.13,82
14.02.2024,USA - TMHL,31,TMHL ORDER 01,843,102041,500.-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,6,0.16,102.60
14.02.2024,USA - TMHL,31,TMHL ORDER 01,843,111041,6.00 - 9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.8,0.039,16,0.62,428.80
14.02.2024,USA - TMHL,31,TMHL ORDER 01,843,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,30,1.57,"1,047.00"
14.02.2024,USA - TMHL,31,TMHL ORDER 01,843,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,30,2.18,"1,407.00"
14.02.2024,USA - TMHL,31,TMHL ORDER 01,843,134051,2.50-15,ROCKSOLID,BLACK,STD,7.5,3 LAYER,67,0.1149,4,0.46,268
14.02.2024,USA - TMHL,31,TMHL ORDER 01,843,135051,8.15-15,ROCKSOLID,BLACK,STD,7,3 LAYER,59.7,0.1064,28,2.98,"1,671.60"
14.02.2024,USA - TMHL,31,TMHL ORDER 01,843,138051,8.25-15,ROCKSOLID,BLACK,STD,6.5,3 LAYER,87.9,0.1385,18,2.49,"1,582.20"
14.02.2024,USA - TMHL,31,TMHL ORDER 01,843,139051,3.00-15,ROCKSOLID,BLACK,STD,8,3 LAYER,108.1,0.1711,6,1.03,648.6
14.02.2024,USA - TMHL,31,TMHL ORDER 01,843,709071,16 1/4x6x11 1/4,RUNNERBAND,BLACK,SMOOTH,POB - Heavy Duty,,19.3,0.0267,8,0.21,154.4
