ERP CO.,Date,wno,Customer,oref,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs,Total Tonage - kgs,fssfsffs
584,07/28/22,12,12,46,151001,9.00-20,ACHIEVER,BLACK,STD,7,2 LAYER ,128.1,0.204,4,0.816,512.4,512.4,512.4
584,07/29/22,12,12,46,151001,9.00-20,ACHIEVER,BLACK,STD,7,2 LAYER ,128.1,0.204,8,1.632,"1,024.80","1,024.80","1,024.80"
584,07/30/22,12,12,46,152001,10.00-20,ACHIEVER,BLACK,STD,7,2 LAYER ,156.5,0.246,16,3.936,"2,504.00","2,504.00","2,504.00"
584,07/31/22,12,12,46,156001,12.00-20,ACHIEVER,BLACK,STD,8.5,2 LAYER ,204.9,0.3616,4,1.446,819.6,819.6,819.6
584,08/01/22,12,12,46,,,,,,,,,,,,,,
584,08/02/22,12,12,46,104002,18x7-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER ,20.7,0.0303,4,0.121,82.8,82.8,82.8
584,08/03/22,12,12,46,119002,6.50-10,ACHIEVER,BLACK,CLIP,5,2 LAYER ,34.6,0.0488,2,0.098,69.2,69.2,69.2
584,08/04/22,12,12,46,118002,200/50-10,ACHIEVER,BLACK,CLIP,8,2 LAYER ,73.7,0.1066,2,0.213,147.4,147.4,147.4
584,08/05/22,12,12,46,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0232,14,0.325,243.6,243.6,243.6
584,08/06/22,12,12,46,111011,6.00-9,ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26,0.0377,10,0.377,260,260,260
584,08/07/22,12,12,46,119011,6.50-10,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,33.7,0.0488,16,0.781,539.2,539.2,539.2
584,08/08/22,12,12,46,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,10,0.691,457,457,457
584,08/09/22,12,12,46,,,,,,,,,,,,,,
584,08/10/22,12,12,46,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER ,10,0.0179,26,0.465,260,260,260
584,08/11/22,12,12,46,101012,15 x 4.5 - 8 (125/75-8) ,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER ,9.2,0.0147,28,0.412,257.6,257.6,257.6
584,08/12/22,12,12,46,103012,16 x 6 - 8 (150/75-8),ACHIEVER PLUS,BLACK,CLIP,4.33,4 LAYER,16,0.0244,12,0.293,192,192,192
584,08/13/22,12,12,46,112012,21x8-9 (200/75-9) ,ACHIEVER PLUS,BLACK,CLIP,6,3 LAYER ,33.6,0.0478,16,0.765,537.6,537.6,537.6
584,08/14/22,12,12,46,119012,6.50-10,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER ,34.2,0.0488,30,1.464,"1,026.00","1,026.00","1,026.00"
584,08/15/22,12,12,46,126012,23 x 10 - 12(250/60-12),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER ,50.7,0.0774,12,0.929,608.4,608.4,608.4
584,08/16/22,12,12,46,120012,23 x 9-10 (225/75-10),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,44.5,0.0627,6,0.376,267,267,267
584,08/17/22,12,12,46,133012,2.50-15(250/70-15),ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER ,65.2,0.1049,10,1.049,652,652,652
584,08/18/22,12,12,46,127012,27x10-12(250/75-12),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER ,73.4,0.1066,2,0.213,146.8,146.8,146.8
584,08/19/22,12,12,46,135012,8.15-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER ,60.3,0.1024,12,1.229,723.6,723.6,723.6
584,08/20/22,12,12,46,139012,300-15(315/70-15),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER ,103.5,0.1563,14,2.188,"1,449.00","1,449.00","1,449.00"
584,08/21/22,12,12,46,140012,355/65-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER ,124.8,0.1852,2,0.37,249.6,249.6,249.6
584,08/22/22,12,12,46,136012,28 x12.5x15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER ,84.2,0.1354,12,1.625,"1,010.40","1,010.40","1,010.40"
584,08/23/22,12,12,46,,,,,,,,,,,,,,
584,08/24/22,12,12,46,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER ,17,0.0232,20,0.464,340,340,340
584,08/25/22,12,12,46,111013,6.00-9,ACHIEVER PLUS,NM,STD,4,3 LAYER ,25.4,0.0377,2,0.075,50.8,50.8,50.8
584,08/26/22,12,12,46,119013,6.50-10,ACHIEVER PLUS,NM,STD,5,3 LAYER ,32.3,0.0488,12,0.586,387.6,387.6,387.6
584,08/27/22,12,12,46,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,2,0.138,89.2,89.2,89.2
584,08/28/22,12,12,46,,,,,,,,,,,,,,
584,08/29/22,12,12,46,110014,140/55-9,ACHIEVER PLUS,NM,CLIP,4,3 LAYER ,9.85,0.0179,20,0.358,197,197,197
584,08/30/22,12,12,46,101014,15 x 4.5 - 8 (125/75-8),ACHIEVER PLUS,NM,CLIP,4,3 LAYER ,9.2,0.0147,7,0.103,64.4,64.4,64.4
584,08/31/22,12,12,46,103014,16 x 6 - 8 (150/75-8),ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER ,15.4,0.0244,10,0.244,154,154,154
584,09/01/22,12,12,46,104014,18x7-8 (180/70-8),ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER ,20.4,0.0303,30,0.909,612,612,612
584,09/02/22,12,12,46,112014,21 x 8 - 9 (200/75-9),ACHIEVER PLUS,NM,CLIP,6,3 LAYER ,34,0.0478,4,0.191,136,136,136
584,09/03/22,12,12,46,119014,6.50-10,ACHIEVER PLUS,NM,CLIP,5,3 LAYER ,32.9,0.0488,8,0.39,263.2,263.2,263.2
584,09/04/22,12,12,46,125014,7.00-12,ACHIEVER PLUS,NM,CLIP,5,3 LAYER ,44.6,0.0691,2,0.138,89.2,89.2,89.2
584,09/05/22,12,12,46,126014,23 x 10 - 12 (250/60-12),ACHIEVER PLUS,NM,CLIP,8,3 LAYER ,49.7,0.0774,6,0.464,298.2,298.2,298.2
584,09/06/22,12,12,46,120014,23/9-10 (225/75-10),ACHIEVER PLUS,NM,CLIP,6.5,3 LAYER ,43.6,0.0627,10,0.627,436,436,436
584,09/07/22,12,12,46,133014,2.50-15,ACHIEVER PLUS,NM,CLIP,7,3 LAYER ,63.3,0.1103,4,0.441,253.2,253.2,253.2
584,09/08/22,12,12,46,139014,300-15(315/70-15),ACHIEVER PLUS,NM,CLIP,8,3 LAYER ,103.5,0.1563,4,0.625,414,414,414
584,09/09/22,12,12,46,,7.00-20,ROCKSOLID,BLACK,STD,-,3 LAYER ,-,,0,0, - , - , - 
584,09/10/22,12,12,46,712072,16x7x10 1/2,RUNNERBAND,BLACK,TRACTION,-,3 LAYER ,22.9,0.0302,0,0, -   , -   , -   
584,09/11/22,12,12,46,730072,16 1/4x7x11 1/4,RUNNERBAND,BLACK,TRACTION,-,3 LAYER ,22.3,0.0312,12,0.374,267.6,267.6,267.6
584,09/12/22,12,12,46,717072,18 x9x12 1/8,RUNNERBAND,BLACK,TRACTION,-,3 LAYER ,33.2,0.0491,10,0.491,332,332,332
584,09/13/22,12,12,46,,,,,,,,,,,,,,
