Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,100311,4.00-8,NEXEN,BLACK,STD,3,APPROVED NEXEN COMPOUND,10.82,0.0169,181,3.0589,1958.42
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,102301,5.00-8,NEXEN,BLACK,STD,3,APPROVED NEXEN COMPOUND,16.03,0.0244,,0,0
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,118301,200/50-10,NEXEN,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,23.67,0.0404,,0,0
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,111301,6.00-9,NEXEN,BLACK,STD,4,APPROVED NEXEN COMPOUND,25.6,0.0379,,0,0
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,112301,21x8-9,NEXEN,BLACK,STD,6,APPROVED NEXEN COMPOUND,33.1,0.049,,0,0
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,120301,23x9-10,NEXEN,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,,0,0
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,126301,23x10-12,NEXEN,BLACK,STD,8,APPROVED NEXEN COMPOUND,49.9,0.0798,30,2.394,1497
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,135301,8.15-15,NEXEN,BLACK,STD,7,APPROVED NEXEN COMPOUND,58.5,0.1011,,0,0
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,141301,7.00-15,NEXEN,BLACK,STD,5.5,APPROVED NEXEN COMPOUND,56.35,0.0922,59,5.4398,3324.65
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,171301,7.50-16,NEXEN,BLACK,STD,6,APPROVED NEXEN COMPOUND,71.72,0.1162,70,8.134,5020.4
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,139301,3.00-15,NEXEN,BLACK,STD,8,APPROVED NEXEN COMPOUND,107.75,0.1661,5,0.8305,538.75
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,101302,15x4 1/2-8,NEXEN,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,9.42,0.0158,6,0.0948,56.52
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,102302,5.00-8,NEXEN,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,16.14,0.0244,,0,0
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,118302,200/50-10,NEXEN,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,24.03,0.0404,,0,0
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,111302,6.00-9,NEXEN,BLACK,CLIP,4,APPROVED NEXEN COMPOUND,25.99,0.0379,,0,0
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,112302,21x8-9,NEXEN,BLACK,CLIP,6,APPROVED NEXEN COMPOUND,33.4,0.049,,0,0
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,120302,23x9-10,NEXEN,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,10,0.682,464
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,126302,23x10-12,NEXEN,BLACK,CLIP,8,APPROVED NEXEN COMPOUND,50.31,0.0798,5,0.399,251.55
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,141302,7.00-15,NEXEN,BLACK,CLIP,5.5,APPROVED NEXEN COMPOUND,57,0.0922,,0,0
27-03-2024,NEXEN,67,KOR-NTC-20-C-04,880,135302,8.15-15,NEXEN,BLACK,CLIP,7,APPROVED NEXEN COMPOUND,59.3,0.1011,50,5.055,2965
