Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
18.02.2025,UAE-MET,27,UAE-MET- ORDER 02,1108,119161,6.50-10 (Wide),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,54,2.7432,1900.8
18.02.2025,UAE-MET,27,UAE-MET- ORDER 02,1108,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,48,3.3168,2193.6
18.02.2025,UAE-MET,27,UAE-MET- ORDER 02,1108,133011,2.50x15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,64.6,0.1358,10,1.358,646
18.02.2025,UAE-MET,27,UAE-MET- ORDER 02,1108,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,59.3,0.1024,64,6.5536,3795.2
18.02.2025,UAE-MET,27,UAE-MET- ORDER 02,1108,138161,8.25-15 (Wide),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,90.6,0.1358,40,5.432,3624
18.02.2025,UAE-MET,27,UAE-MET- ORDER 02,1108,139161,3.00-15 (Wide),ACHIEVER PLUS,BLACK,STD,8,3 LAYER,108.7,0.1701,8,1.3608,869.6
18.02.2025,UAE-MET,27,UAE-MET- ORDER 02,1108,151011,9.00-20,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,127.2,0.204,6,1.224,763.2
18.02.2025,UAE-MET,27,UAE-MET- ORDER 02,1108,153161,10.00-20 (Wide),ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER,167.3,0.2622,6,1.5732,1003.8
18.02.2025,UAE-MET,27,UAE-MET- ORDER 02,1108,103162,16x6-8 (Wide),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,10,0.257,166
18.02.2025,UAE-MET,27,UAE-MET- ORDER 02,1108,104012,18x7-8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,10,0.303,209
18.02.2025,UAE-MET,27,UAE-MET- ORDER 02,1108,119162,6.50-10 (Wide),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,12,0.6096,424.8
18.02.2025,UAE-MET,27,UAE-MET- ORDER 02,1108,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,10,0.691,461
18.02.2025,UAE-MET,27,UAE-MET- ORDER 02,1108,135012,28x9-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,12,1.2288,723.6
18.02.2025,UAE-MET,27,UAE-MET- ORDER 02,1108,138162,8.25-15 (Wide),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,91.5,0.1358,4,0.5432,366
18.02.2025,UAE-MET,27,UAE-MET- ORDER 02,1108,139162,3.00-15 (Wide),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,10,1.701,1092
18.02.2025,UAE-MET,27,UAE-MET- ORDER 02,1108,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER,20.3,0.0303,4,0.1212,81.2
18.02.2025,UAE-MET,27,UAE-MET- ORDER 02,1108,119163,6.50-10 (Wide),ACHIEVER PLUS,NM,STD,5,3 LAYER,34,0.0508,26,1.3208,884
18.02.2025,UAE-MET,27,UAE-MET- ORDER 02,1108,135013,28x9-15,ACHIEVER PLUS,NM,STD,7,3 LAYER,58.3,0.1024,10,1.024,583
