Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,151001,9.00 - 20,ACHIEVER,BLACK,STD,7,2 LAYER,128.1,0.204,8,1.632,"1,024.80"
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,153001,10.00 - 20,ACHIEVER,BLACK,STD,7.5,2 LAYER,158.4,0.246,8,1.968,"1,267.20"
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,156001,12.00 - 20,ACHIEVER,BLACK,STD,8.5,2 LAYER,207.4,0.3074,8,2.459,"1,659.20"
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,101002,15x4 1/2-8,ACHIEVER,BLACK,CLIP,3,3 LAYER,9.2,0.0147,16,0.235,147.2
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,112002,21x8-9,ACHIEVER,BLACK,CLIP,6,3 LAYER,34.2,0.0478,12,0.574,410.4
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,119244,6.50 - 10 (Wide Wall),ACHIEVER,NM,CLIP,5,2 LAYER,36.2,0.0508,4,0.203,144.8
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,135004,28x9-15 / 8.15-15,ACHIEVER,NM,CLIP,7,2 LAYER,60.8,0.1024,2,0.205,121.6
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,110042,140/55-9,RUNNER SOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,12,0.223,123.6
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,103042,16x6-8,RUNNER SOLID,BLACK,CLIP,4.33,3 LAYER,16.6,0.0263,24,0.631,398.4
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,104042,18x7-8,RUNNER SOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,16,0.506,332.8
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,112042,21x8-9,RUNNER SOLID,BLACK,CLIP,6,3 LAYER,33.5,0.0494,24,1.186,804
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,118042,200x50-10,RUNNER SOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0388,19,0.737,438.9
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,126042,23x10-12,RUNNER SOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0774,10,0.774,471
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,127042,27x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.6,0.1051,6,0.631,417.60
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,101044,15x4 1/2-8,RUNNER SOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,32,0.547,329.6
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,104044,18x7-8,RUNNER SOLID,NM,CLIP,4.33,3 LAYER,20.7,0.0316,32,1.011,662.4
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,110044,140/55-9,RUNNER SOLID,NM,CLIP,4,3 LAYER,10.4,0.0186,32,0.595,332.64
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,112044,21x8-9,RUNNER SOLID,NM,CLIP,6,3 LAYER,33.8,0.0494,32,1.581,"1,081.60"
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,118044,200x50-10,RUNNER SOLID,NM,CLIP,6.5,3 LAYER,23.2,0.0394,40,1.576,928
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,119044,6.50 - 10,RUNNER SOLID,NM,CLIP,5,3 LAYER,35.8,0.0523,5,0.262,179
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,120044,23x9-10,RUNNER SOLID,NM,CLIP,6.5,3 LAYER,44.8,0.0523,24,1.255,"1,075.20"
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,125044,7.00 - 12,RUNNER SOLID,NM,CLIP,5,3 LAYER,48.1,0.0725,8,0.58,384.8
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,126044,23x10-12,RUNNER SOLID,NM,CLIP,8,3 LAYER,47.5,0.0764,7,0.535,332.5
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,127044,27x10-12,RUNNER SOLID,NM,CLIP,8,3 LAYER,70.3,0.1051,5,0.526,351.5
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,709071,16-1/4x6x11-1/4,RUNNER BAND,BLACK,SM,-,2 LAYER,19.3,0.0267,4,0.107,77.2
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,711072,16x6x10-1/2,RUNNER BAND,BLACK,TR,-,2 LAYER,19.1,0.0259,4,0.104,76.4
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,714072,18x6x12-1/8,RUNNER BAND,BLACK,TR,-,2 LAYER,22.5,0.0328,4,0.131,90
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,716072,18x8x12-1/8,RUNNER BAND,BLACK,TR,-,2 LAYER,30.1,0.0437,4,0.175,120.4
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,717072,18x9x12-1/8,RUNNER BAND,BLACK,TR,-,2 LAYER,33.2,0.0491,4,0.196,132.8
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,722072,22x8x16,RUNNER BAND,BLACK,TR,-,2 LAYER,42,0.0652,4,0.261,168
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,711074,16x6x10-1/2,RUNNER BAND,NM,TR,-,2 LAYER,15.7,0.0259,4,0.104,62.80
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,708074,16-1/4x5x11-1/4,RUNNER BAND,NM,TR,-,2 LAYER,19.4,0.0223,4,0.089,77.6
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,715074,18x7x12-1/8,RUNNER BAND,NM,TR,-,2 LAYER,25.7,0.0382,4,0.153,102.8
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,719074,21x7x15,RUNNER BAND,NM,TR,-,2 LAYER,34.6,0.052,4,0.208,138.40
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,723074,22x9x16,RUNNER BAND,NM,TR,-,2 LAYER,47.8,0.0734,4,0.294,191.20
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,165327,31x10x16(APERTURE),SKIDSOLID,BLACK,CLIP-L,6,2 LAYER,74.2,0.1446,2,0.289,148.4
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,165328,31x10x16(APERTURE),SKIDSOLID,BLACK,CLIP-R,6,2 LAYER,74.2,0.1446,2,0.289,148.4
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,167327,36x14x20(APERTURE),SKIDSOLID,BLACK,CLIP-L,7.5,2 LAYER,129.8,0.265,8,2.12,"1,038.40"
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,167328,36x14x20(APERTURE),SKIDSOLID,BLACK,CLIP-R,7.5,2 LAYER,129.8,0.265,8,2.12,"1,038.40"
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,165357,31x10x16(APT/ COM. WHEEL),SKIDSOLID,BLACK,CLIP-L,6,2 LAYER,114.2,0.1446,2,0.289,228.4
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,165358,31x10x16(APT/ COM. WHEEL),SKIDSOLID,BLACK,CLIP-R,6,2 LAYER,114.2,0.1446,2,0.289,228.4
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,167357,36x14x20(APT/ COM. WHEEL),SKIDSOLID,BLACK,CLIP-L,7.5,2 LAYER,169.8,0.265,8,2.12,"1,358.40"
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,167358,36x14x20(APT/ COM. WHEEL),SKIDSOLID,BLACK,CLIP-R,7.5,2 LAYER,169.8,0.265,8,2.12,"1,358.40"
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,119242,6.50 - 10 (Wide Wall),,ACHIEVER,BLACK,CLIP,5,36.3,0.0508,3,0.152,108.9
13.12.2023,TURKEY / Z&Q,280,ORDER 15,800,139161,3.00-15 (Wide Wall),,ACHIEVER PLUS,BLACK,STD,8,108.7,0.1701,2,0.34,217.4
